"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54005","0","10","70","0","2021","A","","Boone County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",386,4338,203770451,44188251,1054029,903,46975,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.8,106,2.5,12816045,6.7,1105747,2.6,-63456,-5.7,35,4.0,1855,4.1
"54005","1","10","71","0","2021","A","","Boone County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,54,3204924,0,0,1150,59812,"",12.01,0.62,0.59,0.00,0.00,0.97,0.97,"",0,0.0,-15,-21.7,-130827,-3.9,0,0.0,0,0.0,221,23.8,11526,23.9
"54005","1","102","72","0","2021","A","","Boone County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,54,3204924,0,0,1150,59812,"",12.03,0.63,0.61,0.00,0.00,0.96,0.96,"",0,0.0,-15,-21.7,-130827,-3.9,0,0.0,0,0.0,221,23.8,11526,23.9
"54005","1","1021","73","0","2021","A","","Boone County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",24,36,1560619,0,0,830,43151,"",22.41,1.77,1.66,0.00,0.00,0.93,0.93,"",0,0.0,-1,-2.7,74120,5.0,0,0.0,0,0.0,63,8.2,3245,8.1
"54005","1","1028","73","0","2021","A","","Boone County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,17,1644305,0,0,1816,94410,"",2.23,0.35,0.50,0.00,0.00,1.37,1.37,"",0,0.0,-15,-46.9,-204947,-11.1,0,0.0,0,0.0,699,62.6,36318,62.5
"54005","1","48-49","74","0","2021","A","","Boone County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",24,36,1560619,0,0,830,43151,"",23.06,1.93,1.78,0.00,0.00,0.92,0.92,"",0,0.0,-1,-2.7,74120,5.0,0,0.0,0,0.0,63,8.2,3245,8.1
"54005","1","491","75","0","2021","A","","Boone County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",24,36,1560619,0,0,830,43151,"",23.20,1.97,1.86,0.00,0.00,0.94,0.94,"",0,0.0,-1,-2.7,74120,5.0,0,0.0,0,0.0,63,8.2,3245,8.1
"54005","1","4911","76","0","2021","A","","Boone County, West Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",24,36,1560619,0,0,830,43151,"",23.20,1.97,1.86,0.00,0.00,0.94,0.94,"",0,0.0,-1,-2.7,74120,5.0,0,0.0,0,0.0,63,8.2,3245,8.1
"54005","1","49111","77","0","2021","A","","Boone County, West Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",24,36,1560619,0,0,830,43151,"",23.20,1.97,1.86,0.00,0.00,0.94,0.94,"",0,0.0,-1,-2.7,74120,5.0,0,0.0,0,0.0,63,8.2,3245,8.1
"54005","1","491110","78","0","2021","A","","Boone County, West Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",24,36,1560619,0,0,830,43151,"",23.20,1.97,1.86,0.00,0.00,0.94,0.94,"",0,0.0,-1,-2.7,74120,5.0,0,0.0,0,0.0,63,8.2,3245,8.1
"54005","1","92","74","0","2021","A","","Boone County, West Virginia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,17,1644305,0,0,1816,94410,"",2.23,0.35,0.50,0.00,0.00,1.37,1.37,"",0,0.0,-15,-46.9,-204947,-11.1,0,0.0,0,0.0,699,62.6,36318,62.5
