"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54057","0","10","70","0","2021","A","","Mineral County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",538,7950,386770467,80734713,1807343,936,48649,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,2.9,299,3.9,27326986,7.6,4456362,5.8,-50561,-2.7,33,3.7,1668,3.6
"54057","1","10","71","0","2021","A","","Mineral County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,90,5581416,0,0,1194,62073,"",3.98,0.56,0.55,0.00,0.00,0.97,0.97,"",0,0.0,-13,-12.6,-249419,-4.3,0,0.0,0,0.0,110,10.1,5691,10.1
"54057","1","102","72","0","2021","A","","Mineral County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,90,5581416,0,0,1194,62073,"",3.98,0.58,0.56,0.00,0.00,0.97,0.97,"",0,0.0,-13,-12.6,-249419,-4.3,0,0.0,0,0.0,110,10.1,5691,10.1
"54057","1","1021","73","0","2021","A","","Mineral County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,46,2355324,0,0,985,51203,"",5.36,1.24,1.32,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,155061,7.0,0,0.0,0,0.0,63,6.8,3284,6.9
"54057","1","1024","73","0","2021","A","","Mineral County, West Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,604482,0,0,1098,57116,"",13.91,2.86,2.33,0.00,0.00,0.84,0.84,"",0,0.0,1,10.0,49045,8.8,0,0.0,0,0.0,12,1.1,631,1.1
"54057","1","1028","73","0","2021","A","","Mineral County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,33,2621610,0,0,1512,78648,"",2.40,0.38,0.42,0.00,0.00,1.10,1.10,"",0,0.0,-15,-31.2,-453525,-14.7,0,0.0,0,0.0,271,21.8,14135,21.9
"54057","1","48-49","74","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,46,2355324,0,0,985,51203,"",5.51,1.34,1.42,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,155061,7.0,0,0.0,0,0.0,63,6.8,3284,6.9
"54057","1","491","75","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,46,2355324,0,0,985,51203,"",5.55,1.37,1.48,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,155061,7.0,0,0.0,0,0.0,63,6.8,3284,6.9
"54057","1","4911","76","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,46,2355324,0,0,985,51203,"",5.55,1.37,1.48,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,155061,7.0,0,0.0,0,0.0,63,6.8,3284,6.9
"54057","1","49111","77","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,46,2355324,0,0,985,51203,"",5.55,1.37,1.48,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,155061,7.0,0,0.0,0,0.0,63,6.8,3284,6.9
"54057","1","491110","78","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,46,2355324,0,0,985,51203,"",5.55,1.37,1.48,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,155061,7.0,0,0.0,0,0.0,63,6.8,3284,6.9
"54057","1","54","74","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,11,604482,0,0,1098,57116,"",15.55,2.93,2.35,0.00,0.00,0.83,0.83,"",0,0.0,1,10.0,49045,8.8,0,0.0,0,0.0,12,1.1,631,1.1
"54057","1","541","75","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,604482,0,0,1098,57116,"",15.55,2.93,2.35,0.00,0.00,0.83,0.83,"",0,0.0,1,10.0,49045,8.8,0,0.0,0,0.0,12,1.1,631,1.1
"54057","1","5413","76","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,604482,0,0,1098,57116,"",25.67,3.69,3.08,0.00,0.00,0.87,0.87,"",0,0.0,1,10.0,49045,8.8,0,0.0,0,0.0,12,1.1,631,1.1
"54057","1","54133","77","0","2021","A","","Mineral County, West Virginia","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,604482,0,0,1098,57116,"",25.80,3.87,3.22,0.00,0.00,0.87,0.87,"",0,0.0,1,10.0,49045,8.8,0,0.0,0,0.0,12,1.1,631,1.1
