"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54061","0","10","70","0","2021","A","","Monongalia County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2839,55744,3249122342,440895161,10629044,1121,58287,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",94,3.4,2253,4.2,176295059,5.7,27298081,6.6,529577,5.2,16,1.4,841,1.5
"54061","1","10","71","0","2021","A","","Monongalia County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,1081,100610441,0,0,1789,93043,"",1.76,0.97,1.17,0.00,0.00,1.21,1.21,"",0,0.0,-47,-4.2,70459,0.1,0,0.0,0,0.0,74,4.3,3872,4.3
"54061","1","102","72","0","2021","A","","Monongalia County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,1081,100610441,0,0,1789,93043,"",1.76,0.99,1.19,0.00,0.00,1.21,1.21,"",0,0.0,-47,-4.2,70459,0.1,0,0.0,0,0.0,74,4.3,3872,4.3
"54061","1","1021","73","0","2021","A","","Monongalia County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,150,9820397,0,0,1263,65688,"",1.02,0.58,0.66,0.00,0.00,1.14,1.14,"",0,0.0,4,2.7,774828,8.6,0,0.0,0,0.0,68,5.7,3555,5.7
"54061","1","1023","73","0","2021","A","","Monongalia County, West Virginia","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,20,1459228,0,0,1421,73885,"",5.01,4.17,2.78,0.00,0.00,0.68,0.68,"",0,0.0,1,5.3,-102767,-6.6,0,0.0,0,0.0,-160,-10.1,-8325,-10.1
"54061","1","1024","73","0","2021","A","","Monongalia County, West Virginia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,450221,0,0,1208,62822,"",2.64,0.26,0.21,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,21059,4.9,0,0.0,0,0.0,56,4.9,2939,4.9
"54061","1","1028","73","0","2021","A","","Monongalia County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",18,905,88880595,0,0,1889,98220,"",2.73,1.47,1.68,0.00,0.00,1.15,1.15,"",0,0.0,-51,-5.3,-622661,-0.7,0,0.0,0,0.0,88,4.9,4573,4.9
"54061","1","48-49","74","0","2021","A","","Monongalia County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,150,9820397,0,0,1263,65688,"",1.04,0.63,0.70,0.00,0.00,1.13,1.13,"",0,0.0,4,2.7,774828,8.6,0,0.0,0,0.0,68,5.7,3555,5.7
"54061","1","491","75","0","2021","A","","Monongalia County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,150,9820397,0,0,1263,65688,"",1.05,0.64,0.73,0.00,0.00,1.15,1.15,"",0,0.0,4,2.7,774828,8.6,0,0.0,0,0.0,68,5.7,3555,5.7
"54061","1","4911","76","0","2021","A","","Monongalia County, West Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,150,9820397,0,0,1263,65688,"",1.05,0.64,0.73,0.00,0.00,1.15,1.15,"",0,0.0,4,2.7,774828,8.6,0,0.0,0,0.0,68,5.7,3555,5.7
