"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54087","0","10","70","0","2021","A","","Roane County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",311,2795,119033055,25523045,643883,819,42582,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,5.4,15,0.5,3888497,3.4,942607,3.8,-18049,-2.7,23,2.9,1164,2.8
"54087","1","10","71","0","2021","A","","Roane County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,27,1397932,0,0,1008,52422,"",5.16,0.48,0.44,0.00,0.00,0.93,0.93,"",0,0.0,-4,-12.9,8660,0.6,0,0.0,0,0.0,132,15.1,6872,15.1
"54087","1","102","72","0","2021","A","","Roane County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,27,1397932,0,0,1008,52422,"",5.17,0.49,0.45,0.00,0.00,0.93,0.93,"",0,0.0,-4,-12.9,8660,0.6,0,0.0,0,0.0,132,15.1,6872,15.1
"54087","1","1021","73","0","2021","A","","Roane County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,20,1024370,0,0,981,51006,"",6.95,1.53,1.87,0.00,0.00,1.21,1.21,"",0,0.0,1,5.3,83050,8.8,0,0.0,0,0.0,49,5.3,2526,5.2
"54087","1","1028","73","0","2021","A","","Roane County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,373562,0,0,1091,56744,"",4.15,0.23,0.19,0.00,0.00,0.91,0.91,"",0,0.0,-4,-36.4,-74390,-16.6,0,0.0,0,0.0,314,40.4,16327,40.4
"54087","1","48-49","74","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,20,1024370,0,0,981,51006,"",7.15,1.66,2.00,0.00,0.00,1.20,1.20,"",0,0.0,1,5.3,83050,8.8,0,0.0,0,0.0,49,5.3,2526,5.2
"54087","1","491","75","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,20,1024370,0,0,981,51006,"",7.20,1.70,2.09,0.00,0.00,1.22,1.22,"",0,0.0,1,5.3,83050,8.8,0,0.0,0,0.0,49,5.3,2526,5.2
"54087","1","4911","76","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,20,1024370,0,0,981,51006,"",7.20,1.70,2.09,0.00,0.00,1.22,1.22,"",0,0.0,1,5.3,83050,8.8,0,0.0,0,0.0,49,5.3,2526,5.2
"54087","1","49111","77","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,20,1024370,0,0,981,51006,"",7.20,1.70,2.09,0.00,0.00,1.22,1.22,"",0,0.0,1,5.3,83050,8.8,0,0.0,0,0.0,49,5.3,2526,5.2
"54087","1","491110","78","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,20,1024370,0,0,981,51006,"",7.20,1.70,2.09,0.00,0.00,1.22,1.22,"",0,0.0,1,5.3,83050,8.8,0,0.0,0,0.0,49,5.3,2526,5.2
"54087","1","92","74","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,373562,0,0,1091,56744,"",4.15,0.23,0.19,0.00,0.00,0.91,0.91,"",0,0.0,-4,-36.4,-74390,-16.6,0,0.0,0,0.0,314,40.4,16327,40.4
"54087","1","924","75","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,111031,0,0,1068,55516,"",6.71,1.08,1.04,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-9785,-8.1,0,0.0,0,0.0,107,11.1,5523,11.0
"54087","1","9241","76","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,111031,0,0,1068,55516,"",6.71,1.08,1.04,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,-9785,-8.1,0,0.0,0,0.0,107,11.1,5523,11.0
"54087","1","92412","77","0","2021","A","","Roane County, West Virginia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,111031,0,0,1068,55516,"",7.09,1.31,1.37,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,-9785,-8.1,0,0.0,0,0.0,107,11.1,5523,11.0
