"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54093","0","10","70","0","2021","A","","Tucker County, West Virginia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",236,2560,96918161,24808824,587940,728,37854,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,3.5,155,6.4,5369384,5.9,1954630,8.6,8839,1.5,-4,-0.5,-216,-0.6
"54093","1","10","71","0","2021","A","","Tucker County, West Virginia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,59,3801853,0,0,1243,64621,"",7.55,1.15,1.48,0.00,0.00,1.29,1.29,"",0,0.0,1,1.7,97764,2.6,0,0.0,0,0.0,11,0.9,573,0.9
"54093","1","102","72","0","2021","A","","Tucker County, West Virginia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,59,3801853,0,0,1243,64621,"",7.57,1.17,1.51,0.00,0.00,1.29,1.29,"",0,0.0,1,1.7,97764,2.6,0,0.0,0,0.0,11,0.9,573,0.9
"54093","1","1021","73","0","2021","A","","Tucker County, West Virginia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,21,863273,0,0,810,42111,"",9.16,1.75,1.93,0.00,0.00,1.13,1.13,"",0,0.0,1,5.0,-24207,-2.7,0,0.0,0,0.0,-29,-3.5,-1536,-3.5
"54093","1","1025","73","0","2021","A","","Tucker County, West Virginia","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,636630,0,0,1770,92043,"",33.11,0.92,1.67,0.00,0.00,1.84,1.84,"",0,0.0,2,40.0,164558,34.9,0,0.0,0,0.0,68,4.0,3529,4.0
"54093","1","1028","73","0","2021","A","","Tucker County, West Virginia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,31,2301950,0,0,1409,73272,"",5.47,1.10,1.46,0.00,0.00,1.32,1.32,"",0,0.0,-1,-3.1,-42587,-1.8,0,0.0,0,0.0,7,0.5,385,0.5
"54093","1","48-49","74","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,21,863273,0,0,810,42111,"",9.43,1.91,2.07,0.00,0.00,1.11,1.11,"",0,0.0,1,5.0,-24207,-2.7,0,0.0,0,0.0,-29,-3.5,-1536,-3.5
"54093","1","491","75","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,21,863273,0,0,810,42111,"",9.48,1.95,2.16,0.00,0.00,1.14,1.14,"",0,0.0,1,5.0,-24207,-2.7,0,0.0,0,0.0,-29,-3.5,-1536,-3.5
"54093","1","4911","76","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,21,863273,0,0,810,42111,"",9.48,1.95,2.16,0.00,0.00,1.14,1.14,"",0,0.0,1,5.0,-24207,-2.7,0,0.0,0,0.0,-29,-3.5,-1536,-3.5
"54093","1","49111","77","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,21,863273,0,0,810,42111,"",9.48,1.95,2.16,0.00,0.00,1.14,1.14,"",0,0.0,1,5.0,-24207,-2.7,0,0.0,0,0.0,-29,-3.5,-1536,-3.5
"54093","1","491110","78","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,21,863273,0,0,810,42111,"",9.48,1.95,2.16,0.00,0.00,1.14,1.14,"",0,0.0,1,5.0,-24207,-2.7,0,0.0,0,0.0,-29,-3.5,-1536,-3.5
"54093","1","62","74","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,636630,0,0,1770,92043,"",37.77,0.94,1.72,0.00,0.00,1.84,1.84,"",0,0.0,2,40.0,164558,34.9,0,0.0,0,0.0,68,4.0,3529,4.0
"54093","1","621","75","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 621 Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,636630,0,0,1770,92043,"",96.50,9.81,17.56,0.00,0.00,1.81,1.81,"",0,0.0,2,40.0,164558,34.9,0,0.0,0,0.0,68,4.0,3529,4.0
"54093","1","6211","76","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 6211 Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,636630,0,0,1770,92043,"",133.60,16.05,28.03,0.00,0.00,1.77,1.77,"",0,0.0,2,40.0,164558,34.9,0,0.0,0,0.0,68,4.0,3529,4.0
"54093","1","62111","77","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 62111 Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,636630,0,0,1770,92043,"",133.60,16.05,28.03,0.00,0.00,1.77,1.77,"",0,0.0,2,40.0,164558,34.9,0,0.0,0,0.0,68,4.0,3529,4.0
"54093","1","621111","78","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 621111 Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,636630,0,0,1770,92043,"",133.60,16.05,28.03,0.00,0.00,1.77,1.77,"",0,0.0,2,40.0,164558,34.9,0,0.0,0,0.0,68,4.0,3529,4.0
"54093","1","92","74","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,31,2301950,0,0,1409,73272,"",5.47,1.10,1.46,0.00,0.00,1.32,1.32,"",0,0.0,-1,-3.1,-42587,-1.8,0,0.0,0,0.0,7,0.5,385,0.5
"54093","1","924","75","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,31,2301950,0,0,1409,73272,"",17.70,18.29,26.55,0.00,0.00,1.43,1.43,"",0,0.0,2,6.9,-8281,-0.4,0,0.0,0,0.0,-101,-6.7,-5263,-6.7
"54093","1","9241","76","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,31,2301950,0,0,1409,73272,"",17.70,18.29,26.55,0.00,0.00,1.43,1.43,"",0,0.0,2,6.9,-8281,-0.4,0,0.0,0,0.0,-101,-6.7,-5263,-6.7
"54093","1","92412","77","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,31,2301950,0,0,1409,73272,"",18.68,22.23,34.80,0.00,0.00,1.54,1.55,"",0,0.0,2,6.9,-8281,-0.4,0,0.0,0,0.0,-101,-6.7,-5263,-6.7
"54093","1","924120","78","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,31,2301950,0,0,1409,73272,"",18.68,22.23,34.80,0.00,0.00,1.54,1.55,"",0,0.0,2,6.9,-8281,-0.4,0,0.0,0,0.0,-101,-6.7,-5263,-6.7
"54093","1","926","75","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.56,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-3,-100.0,-34306,-100.0,0,0.0,0,0.0,-240,-100.0,-12475,-100.0
"54093","1","9261","76","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.56,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-3,-100.0,-34306,-100.0,0,0.0,0,0.0,-240,-100.0,-12475,-100.0
"54093","1","92611","77","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",10.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-3,-100.0,-34306,-100.0,0,0.0,0,0.0,-240,-100.0,-12475,-100.0
"54093","1","926110","78","0","2021","A","","Tucker County, West Virginia","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",10.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-3,-100.0,-34306,-100.0,0,0.0,0,0.0,-240,-100.0,-12475,-100.0
