"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55007","0","10","70","0","2021","A","","Bayfield County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",521,3908,158369007,40554831,1249313,779,40525,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.4,95,2.5,25926283,19.6,2636473,7.0,56997,4.8,111,16.6,5794,16.7
"55007","1","10","71","0","2021","A","","Bayfield County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,113,6789555,0,0,1153,59952,"",4.79,1.44,1.62,0.00,0.00,1.12,1.12,"",0,0.0,-13,-10.3,-87565,-1.3,0,0.0,0,0.0,105,10.0,5444,10.0
"55007","1","102","72","0","2021","A","","Bayfield County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,113,6789555,0,0,1153,59952,"",4.80,1.47,1.65,0.00,0.00,1.12,1.12,"",0,0.0,-13,-10.3,-87565,-1.3,0,0.0,0,0.0,105,10.0,5444,10.0
"55007","1","1021","73","0","2021","A","","Bayfield County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,34,1626813,0,0,927,48202,"",6.92,1.86,2.23,0.00,0.00,1.21,1.21,"",0,0.0,-2,-5.6,37607,2.4,0,0.0,0,0.0,74,8.7,3852,8.7
"55007","1","1026","73","0","2021","A","","Bayfield County, Wisconsin","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,39,2673713,0,0,1324,68851,"",13.82,32.04,67.83,0.00,0.00,2.13,2.13,"",0,0.0,2,5.4,158817,6.3,0,0.0,0,0.0,20,1.5,1034,1.5
"55007","1","1028","73","0","2021","A","","Bayfield County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,41,2489029,0,0,1177,61206,"",2.48,0.95,0.97,0.00,0.00,1.03,1.03,"",0,0.0,-12,-22.6,-283989,-10.2,0,0.0,0,0.0,176,17.6,9131,17.5
"55007","1","48-49","74","0","2021","A","","Bayfield County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,34,1626813,0,0,927,48202,"",7.12,2.02,2.39,0.00,0.00,1.19,1.19,"",0,0.0,-2,-5.6,37607,2.4,0,0.0,0,0.0,74,8.7,3852,8.7
"55007","1","491","75","0","2021","A","","Bayfield County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,34,1626813,0,0,927,48202,"",7.16,2.06,2.49,0.00,0.00,1.22,1.21,"",0,0.0,-2,-5.6,37607,2.4,0,0.0,0,0.0,74,8.7,3852,8.7
"55007","1","4911","76","0","2021","A","","Bayfield County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,34,1626813,0,0,927,48202,"",7.16,2.06,2.49,0.00,0.00,1.22,1.21,"",0,0.0,-2,-5.6,37607,2.4,0,0.0,0,0.0,74,8.7,3852,8.7
"55007","1","49111","77","0","2021","A","","Bayfield County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,34,1626813,0,0,927,48202,"",7.16,2.06,2.49,0.00,0.00,1.22,1.21,"",0,0.0,-2,-5.6,37607,2.4,0,0.0,0,0.0,74,8.7,3852,8.7
