"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55025","0","10","70","0","2021","A","","Dane County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",16492,336300,22334006856,3878177256,49120253,1277,66411,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",281,1.7,8277,2.5,1605820110,7.7,223300467,6.1,-2939716,-5.6,62,5.1,3220,5.1
"55025","1","10","71","0","2021","A","","Dane County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,5391,402282439,0,0,1435,74627,"",0.75,0.80,0.68,0.00,0.00,0.85,0.85,"",-1,-1.4,11,0.2,11206521,2.9,0,0.0,0,0.0,37,2.6,1931,2.7
"55025","1","102","72","0","2021","A","","Dane County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",69,5391,402282439,0,0,1435,74627,"",0.75,0.81,0.69,0.00,0.00,0.85,0.85,"",-1,-1.4,11,0.2,11206521,2.9,0,0.0,0,0.0,37,2.6,1931,2.7
"55025","1","1021","73","0","2021","A","","Dane County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,1089,69767193,0,0,1233,64095,"",0.59,0.69,0.68,0.00,0.00,0.98,0.98,"",0,0.0,-8,-0.7,-2675899,-3.7,0,0.0,0,0.0,-37,-2.9,-1947,-2.9
"55025","1","1023","73","0","2021","A","","Dane County, Wisconsin","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,21,2758085,0,0,2516,130818,"",1.72,0.73,0.76,0.00,0.00,1.05,1.05,"",0,0.0,-3,-12.5,-299818,-9.8,0,0.0,0,0.0,49,2.0,2514,2.0
"55025","1","1025","73","0","2021","A","","Dane County, Wisconsin","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,2678,200791088,0,0,1442,74969,"",0.47,2.67,2.28,0.00,0.00,0.86,0.86,"",0,0.0,149,5.9,14809203,8.0,0,0.0,0,0.0,28,2.0,1439,2.0
"55025","1","1026","73","0","2021","A","","Dane County, Wisconsin","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,4,471643,0,0,2093,108841,"",0.44,0.04,0.08,0.00,0.00,2.05,2.05,"",0,0.0,-1,-20.0,-63687,-11.9,0,0.0,0,0.0,34,1.7,1775,1.7
"55025","1","1028","73","0","2021","A","","Dane County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",38,1598,128494430,0,0,1546,80393,"",0.99,0.43,0.35,0.00,0.00,0.82,0.82,"",-1,-2.6,-127,-7.4,-563278,-0.4,0,0.0,0,0.0,107,7.4,5555,7.4
"55025","1","48-49","74","0","2021","A","","Dane County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,1089,69767193,0,0,1233,64095,"",0.61,0.75,0.73,0.00,0.00,0.97,0.97,"",0,0.0,-8,-0.7,-2675899,-3.7,0,0.0,0,0.0,-37,-2.9,-1947,-2.9
"55025","1","491","75","0","2021","A","","Dane County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,1089,69767193,0,0,1233,64095,"",0.61,0.77,0.76,0.00,0.00,0.99,0.99,"",0,0.0,-8,-0.7,-2675899,-3.7,0,0.0,0,0.0,-37,-2.9,-1947,-2.9
"55025","1","4911","76","0","2021","A","","Dane County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",27,1089,69767193,0,0,1233,64095,"",0.61,0.77,0.76,0.00,0.00,0.99,0.99,"",0,0.0,-8,-0.7,-2675899,-3.7,0,0.0,0,0.0,-37,-2.9,-1947,-2.9
