"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55039","0","10","70","0","2021","A","","Fond Du Lac County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2432,45267,2391004397,541426992,6840171,1016,52820,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,0.7,860,1.9,157536410,7.1,31567929,6.2,-800701,-10.5,49,5.1,2525,5.0
"55039","1","10","71","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,198,11899220,0,0,1158,60224,"",1.61,0.22,0.19,0.00,0.00,0.86,0.86,"",0,0.0,-7,-3.4,-490742,-4.0,0,0.0,0,0.0,-4,-0.3,-215,-0.4
"55039","1","102","72","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,198,11899220,0,0,1158,60224,"",1.62,0.22,0.19,0.00,0.00,0.86,0.86,"",0,0.0,-7,-3.4,-490742,-4.0,0,0.0,0,0.0,-4,-0.3,-215,-0.4
"55039","1","1021","73","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,160,9348255,0,0,1122,58335,"",2.08,0.76,0.85,0.00,0.00,1.12,1.12,"",0,0.0,-1,-0.6,-349002,-3.6,0,0.0,0,0.0,-37,-3.2,-1928,-3.2
"55039","1","1023","73","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,563348,0,0,1625,84502,"",5.85,1.80,1.46,0.00,0.00,0.85,0.85,"",0,0.0,2,40.0,129357,29.8,0,0.0,0,0.0,-17,-1.0,-873,-1.0
"55039","1","1028","73","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,31,1987617,0,0,1246,64814,"",1.24,0.06,0.05,0.00,0.00,0.83,0.83,"",0,0.0,-8,-20.5,-271097,-12.0,0,0.0,0,0.0,132,11.8,6898,11.9
"55039","1","48-49","74","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,160,9348255,0,0,1122,58335,"",2.13,0.82,0.91,0.00,0.00,1.11,1.11,"",0,0.0,-1,-0.6,-349002,-3.6,0,0.0,0,0.0,-37,-3.2,-1928,-3.2
"55039","1","491","75","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,160,9348255,0,0,1122,58335,"",2.15,0.84,0.95,0.00,0.00,1.13,1.13,"",0,0.0,-1,-0.6,-349002,-3.6,0,0.0,0,0.0,-37,-3.2,-1928,-3.2
"55039","1","4911","76","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,160,9348255,0,0,1122,58335,"",2.15,0.84,0.95,0.00,0.00,1.13,1.13,"",0,0.0,-1,-0.6,-349002,-3.6,0,0.0,0,0.0,-37,-3.2,-1928,-3.2
"55039","1","49111","77","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,160,9348255,0,0,1122,58335,"",2.15,0.84,0.95,0.00,0.00,1.13,1.13,"",0,0.0,-1,-0.6,-349002,-3.6,0,0.0,0,0.0,-37,-3.2,-1928,-3.2
"55039","1","491110","78","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,160,9348255,0,0,1122,58335,"",2.15,0.84,0.95,0.00,0.00,1.13,1.13,"",0,0.0,-1,-0.6,-349002,-3.6,0,0.0,0,0.0,-37,-3.2,-1928,-3.2
"55039","1","52","74","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,563348,0,0,1625,84502,"",5.90,1.80,1.46,0.00,0.00,0.85,0.85,"",0,0.0,2,40.0,129357,29.8,0,0.0,0,0.0,-17,-1.0,-873,-1.0
"55039","1","522","75","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,563348,0,0,1625,84502,"",7.17,3.77,3.85,0.00,0.00,1.07,1.07,"",0,0.0,2,40.0,129357,29.8,0,0.0,0,0.0,-17,-1.0,-873,-1.0
"55039","1","5222","76","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,563348,0,0,1625,84502,"",7.18,3.77,3.85,0.00,0.00,1.07,1.07,"",0,0.0,2,40.0,129357,29.8,0,0.0,0,0.0,-17,-1.0,-873,-1.0
"55039","1","52229","77","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,563348,0,0,1625,84502,"",7.18,3.77,3.85,0.00,0.00,1.07,1.07,"",0,0.0,2,40.0,129357,29.8,0,0.0,0,0.0,-17,-1.0,-873,-1.0
"55039","1","522292","78","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 522292 Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,563348,0,0,1625,84502,"",15.63,7.82,9.78,0.00,0.00,1.31,1.31,"",0,0.0,2,40.0,129357,29.8,0,0.0,0,0.0,-17,-1.0,-873,-1.0
"55039","1","92","74","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,31,1987617,0,0,1246,64814,"",1.24,0.06,0.05,0.00,0.00,0.83,0.83,"",0,0.0,-8,-20.5,-271097,-12.0,0,0.0,0,0.0,132,11.8,6898,11.9
"55039","1","921","75","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,143891,0,0,2767,143891,"",2.90,0.02,0.04,0.00,0.00,1.97,1.97,"",0,0.0,0,0.0,2330,1.6,0,0.0,0,0.0,45,1.7,2330,1.6
"55039","1","9211","76","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,143891,0,0,2767,143891,"",2.90,0.02,0.04,0.00,0.00,1.97,1.97,"",0,0.0,0,0.0,2330,1.6,0,0.0,0,0.0,45,1.7,2330,1.6
"55039","1","92119","77","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,143891,0,0,2767,143891,"",4.51,0.10,0.18,0.00,0.00,1.77,1.77,"",0,0.0,0,0.0,2330,1.6,0,0.0,0,0.0,45,1.7,2330,1.6
"55039","1","921190","78","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,143891,0,0,2767,143891,"",4.51,0.10,0.18,0.00,0.00,1.77,1.77,"",0,0.0,0,0.0,2330,1.6,0,0.0,0,0.0,45,1.7,2330,1.6
"55039","1","923","75","0","2021","A","","Fond Du Lac County, Wisconsin","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,669193,0,0,1287,66919,"",1.73,0.15,0.13,0.00,0.00,0.83,0.83,"",0,0.0,-1,-9.1,-157559,-19.1,0,0.0,0,0.0,-158,-10.9,-8240,-11.0
