"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55075","0","10","70","0","2021","A","","Marinette County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1218,17843,838642198,214094783,2594383,904,47002,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.2,250,1.4,59302541,7.6,6356132,3.1,-471615,-15.4,52,6.1,2704,6.1
"55075","1","10","71","0","2021","A","","Marinette County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,175,11948185,0,0,1314,68340,"",2.34,0.49,0.54,0.00,0.00,1.10,1.10,"",0,0.0,-10,-5.4,645960,5.7,0,0.0,0,0.0,139,11.8,7219,11.8
"55075","1","102","72","0","2021","A","","Marinette County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,175,11948185,0,0,1314,68340,"",2.35,0.50,0.55,0.00,0.00,1.10,1.10,"",0,0.0,-10,-5.4,645960,5.7,0,0.0,0,0.0,139,11.8,7219,11.8
"55075","1","1021","73","0","2021","A","","Marinette County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,97,4697580,0,0,930,48346,"",3.55,1.16,1.21,0.00,0.00,1.04,1.04,"",0,0.0,1,1.0,244495,5.5,0,0.0,0,0.0,40,4.5,2040,4.4
"55075","1","1028","73","0","2021","A","","Marinette County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,78,7250605,0,0,1795,93355,"",1.41,0.40,0.53,0.00,0.00,1.35,1.35,"",0,0.0,-11,-12.4,401465,5.9,0,0.0,0,0.0,311,21.0,16182,21.0
"55075","1","48-49","74","0","2021","A","","Marinette County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,97,4697580,0,0,930,48346,"",3.65,1.26,1.30,0.00,0.00,1.03,1.03,"",0,0.0,1,1.0,244495,5.5,0,0.0,0,0.0,40,4.5,2040,4.4
"55075","1","491","75","0","2021","A","","Marinette County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,97,4697580,0,0,930,48346,"",3.68,1.29,1.36,0.00,0.00,1.05,1.05,"",0,0.0,1,1.0,244495,5.5,0,0.0,0,0.0,40,4.5,2040,4.4
"55075","1","4911","76","0","2021","A","","Marinette County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,97,4697580,0,0,930,48346,"",3.68,1.29,1.36,0.00,0.00,1.05,1.05,"",0,0.0,1,1.0,244495,5.5,0,0.0,0,0.0,40,4.5,2040,4.4
"55075","1","49111","77","0","2021","A","","Marinette County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,97,4697580,0,0,930,48346,"",3.68,1.29,1.36,0.00,0.00,1.05,1.05,"",0,0.0,1,1.0,244495,5.5,0,0.0,0,0.0,40,4.5,2040,4.4
"55075","1","491110","78","0","2021","A","","Marinette County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,97,4697580,0,0,930,48346,"",3.68,1.29,1.36,0.00,0.00,1.05,1.05,"",0,0.0,1,1.0,244495,5.5,0,0.0,0,0.0,40,4.5,2040,4.4
