"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56043","0","10","70","0","2021","A","","Washakie County, Wyoming","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",436,3550,163230661,64444651,1256911,884,45977,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,83,2.4,8823957,5.7,4351065,7.2,519945,70.6,28,3.3,1442,3.2
"56043","1","10","71","0","2021","A","","Washakie County, Wyoming","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,111,8355986,0,0,1452,75506,"",3.27,1.56,1.93,0.00,0.00,1.25,1.24,"",0,0.0,-9,-7.5,-161815,-1.9,0,0.0,0,0.0,88,6.5,4574,6.4
"56043","1","102","72","0","2021","A","","Washakie County, Wyoming","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,111,8355986,0,0,1452,75506,"",3.28,1.59,1.97,0.00,0.00,1.24,1.24,"",0,0.0,-9,-7.5,-161815,-1.9,0,0.0,0,0.0,88,6.5,4574,6.4
"56043","1","1021","73","0","2021","A","","Washakie County, Wyoming","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,21,1218582,0,0,1116,58028,"",1.65,1.26,1.62,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,-14721,-1.2,0,0.0,0,0.0,4,0.4,217,0.4
"56043","1","1023","73","0","2021","A","","Washakie County, Wyoming","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,126705,0,0,1827,95029,"",32.62,3.27,4.81,0.00,0.00,1.10,1.10,"",0,0.0,-1,-50.0,-37431,-22.8,0,0.0,0,0.0,249,15.8,12961,15.8
"56043","1","1028","73","0","2021","A","","Washakie County, Wyoming","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,88,7010699,0,0,1526,79366,"",4.93,2.24,2.64,0.00,0.00,1.17,1.17,"",0,0.0,-9,-9.3,-109663,-1.5,0,0.0,0,0.0,111,7.8,5771,7.8
"56043","1","48-49","74","0","2021","A","","Washakie County, Wyoming","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,21,1218582,0,0,1116,58028,"",1.70,1.37,1.74,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,-14721,-1.2,0,0.0,0,0.0,4,0.4,217,0.4
"56043","1","491","75","0","2021","A","","Washakie County, Wyoming","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,21,1218582,0,0,1116,58028,"",1.71,1.40,1.81,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-14721,-1.2,0,0.0,0,0.0,4,0.4,217,0.4
"56043","1","4911","76","0","2021","A","","Washakie County, Wyoming","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,21,1218582,0,0,1116,58028,"",1.71,1.40,1.81,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-14721,-1.2,0,0.0,0,0.0,4,0.4,217,0.4
"56043","1","49111","77","0","2021","A","","Washakie County, Wyoming","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,1218582,0,0,1116,58028,"",1.71,1.40,1.81,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,-14721,-1.2,0,0.0,0,0.0,4,0.4,217,0.4
