"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2114","0","10","40","0","2021","A","","Elkhart-Goshen, IN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",4923,137344,8408641817,1638349738,27614118,1177,61223,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",91,1.9,12561,10.1,1846041515,28.1,248093632,17.8,1064690,4.0,166,16.4,8631,16.4
"C2114","1","10","41","0","2021","A","","Elkhart-Goshen, IN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16,252,17138680,0,0,1307,67988,"",0.58,0.09,0.08,0.00,0.00,0.84,0.84,"",0,0.0,-40,-13.7,354979,2.1,0,0.0,0,0.0,203,18.4,10591,18.5
"C2114","2","10","41","0","2021","A","","Elkhart-Goshen, IN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",15,224,10395380,0,0,891,46322,"",0.47,0.05,0.04,0.00,0.00,0.74,0.74,"",-1,-6.2,-25,-10.0,-779670,-7.0,0,0.0,0,0.0,28,3.2,1457,3.2
"C2114","3","10","41","0","2021","A","","Elkhart-Goshen, IN MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,7828,350065199,990126,4990,860,44718,"",0.67,0.60,0.50,0.04,0.03,0.84,0.84,"",0,0.0,-47,-0.6,14892337,4.4,-14885,-1.5,-109,-2.1,42,5.1,2156,5.1
"C2114","5","10","41","0","2021","A","","Elkhart-Goshen, IN MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4840,129039,8031042558,1637359612,27609128,1197,62237,"",1.01,1.10,1.11,1.02,1.01,1.01,1.01,"",92,1.9,12672,10.9,1831573869,29.5,248108517,17.9,1064799,4.0,172,16.8,8962,16.8
"C2114","5","101","42","0","2021","A","","Elkhart-Goshen, IN MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1335,76844,4982429067,997105780,19636670,1247,64838,"",2.14,3.74,3.67,3.00,2.80,0.98,0.98,"",21,1.6,11185,17.0,1305448294,35.5,175662569,21.4,1030506,5.5,170,15.8,8837,15.8
"C2114","5","1011","43","0","2021","A","","Elkhart-Goshen, IN MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",47,314,14805279,3585267,36971,908,47213,"",0.74,0.19,0.16,0.12,0.06,0.85,0.85,"",2,4.4,5,1.6,1423232,10.6,49672,1.4,-7408,-16.7,76,9.1,3929,9.1
"C2114","5","1012","43","0","2021","A","","Elkhart-Goshen, IN MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",488,3820,248642057,49635213,1015672,1252,65092,"",1.24,0.54,0.55,0.40,0.30,1.03,1.03,"",6,1.2,0,0.0,22919497,10.2,686947,1.4,-132128,-11.5,116,10.2,6009,10.2
"C2114","5","1013","43","0","2021","A","","Elkhart-Goshen, IN MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",800,72711,4718981731,943885300,18584027,1248,64901,"",4.84,6.19,5.79,5.24,6.23,0.94,0.94,"",14,1.8,11182,18.2,1281105565,37.3,174925950,22.7,1170042,6.7,173,16.1,9027,16.2
"C2114","5","102","42","0","2021","A","","Elkhart-Goshen, IN MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3505,52195,3048613491,640253832,7972458,1123,58408,"",0.84,0.54,0.52,0.50,0.39,0.96,0.96,"",70,2.0,1487,2.9,526125575,20.9,72445948,12.8,34293,0.4,166,17.3,8663,17.4
