"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2166","0","10","40","0","2021","A","","Eugene, OR MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",13515,150611,7917630856,3899863001,88482143,1011,52570,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",528,4.1,3072,2.1,611700850,8.4,328000157,9.2,27905021,46.1,59,6.2,3051,6.2
"C2166","1","10","41","0","2021","A","","Eugene, OR MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",63,1860,142470066,0,0,1473,76580,"",0.83,0.62,0.68,0.00,0.00,1.10,1.10,"",0,0.0,-94,-4.8,2995522,2.1,0,0.0,0,0.0,100,7.3,5195,7.3
"C2166","2","10","41","0","2021","A","","Eugene, OR MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",56,1760,128314608,0,0,1402,72923,"",0.64,0.37,0.50,0.00,0.00,1.36,1.36,"",0,0.0,17,1.0,11481283,9.8,0,0.0,0,0.0,113,8.8,5909,8.8
"C2166","3","10","41","0","2021","A","","Eugene, OR MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",316,19382,1200110713,36099986,612919,1191,61918,"",1.49,1.36,1.83,0.67,1.19,1.35,1.35,"",24,8.2,-200,-1.0,35985055,3.1,6133168,20.5,265187,76.3,48,4.2,2470,4.2
"C2166","5","10","41","0","2021","A","","Eugene, OR MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",13080,127609,6446735469,3863763015,87869224,972,50519,"",1.00,0.99,0.95,1.01,1.00,0.96,0.96,"",504,4.0,3350,2.7,561238990,9.5,321866989,9.1,27639834,45.9,61,6.7,3154,6.7
"C2166","5","101","42","0","2021","A","","Eugene, OR MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2027,24419,1430004821,970306200,23310451,1126,58560,"",1.19,1.09,1.12,1.23,1.04,1.03,1.03,"",58,2.9,841,3.6,106358364,8.0,68711659,7.6,5464311,30.6,46,4.3,2420,4.3
"C2166","5","1011","43","0","2021","A","","Eugene, OR MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",308,2592,125999374,96018276,2190941,935,48614,"",1.76,1.41,1.43,1.39,1.04,1.02,1.02,"",7,2.3,134,5.5,7900116,6.7,5850487,6.5,416626,23.5,11,1.2,564,1.2
"C2166","5","1012","43","0","2021","A","","Eugene, OR MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1158,7459,437673565,302190338,7981674,1128,58674,"",1.07,0.96,1.04,1.03,0.74,1.08,1.08,"",55,5.0,144,2.0,16559728,3.9,13884116,4.8,1623000,25.5,21,1.9,1104,1.9
"C2166","5","1013","43","0","2021","A","","Eugene, OR MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",561,14368,866331882,572097586,13137836,1160,60295,"",1.24,1.11,1.13,1.33,1.37,1.01,1.01,"",-4,-0.7,563,4.1,81898520,10.4,48977056,9.4,3424685,35.3,67,6.1,3473,6.1
"C2166","5","102","42","0","2021","A","","Eugene, OR MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",11053,103190,5016730648,2893456815,64558773,935,48617,"",0.97,0.97,0.91,0.95,0.99,0.93,0.93,"",446,4.2,2509,2.5,454880626,10.0,253155330,9.6,22175523,52.3,64,7.3,3307,7.3
