"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2486","0","10","40","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",24211,396664,20730819584,5349070276,46296354,1005,52263,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",897,3.8,12778,3.3,1587808095,8.3,369016773,7.4,1452305,3.2,46,4.8,2397,4.8
"C2486","1","10","41","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",94,2916,203904892,0,0,1345,69926,"",0.69,0.37,0.37,0.00,0.00,1.01,1.01,"",2,2.2,-92,-3.1,2415499,1.2,0,0.0,0,0.0,57,4.4,2945,4.4
"C2486","2","10","41","0","2021","A","N","Greenville-Anderson-Mauldin, SC MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",107,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,"N",1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","3","10","41","0","2021","A","N","Greenville-Anderson-Mauldin, SC MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",386,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,"N",-3,-0.8,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","10","41","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",23624,339851,17669605262,5328512448,46260523,1000,51992,"",1.00,1.00,0.99,1.02,1.01,0.99,0.99,"",896,3.9,14408,4.4,1511806838,9.4,368045388,7.4,1458710,3.3,45,4.7,2343,4.7
"C2486","5","101","42","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",3648,75779,4846028720,1277043963,12482294,1230,63949,"",1.19,1.28,1.45,1.18,1.06,1.13,1.13,"",88,2.5,3187,4.4,332137685,7.4,72003625,6.0,-1016662,-7.5,34,2.8,1767,2.8
"C2486","5","1011","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",122,743,36142822,11823669,82499,935,48617,"",0.39,0.15,0.16,0.13,0.07,1.02,1.02,"",1,0.8,-56,-7.0,1009768,2.9,-848805,-6.7,-9642,-10.5,89,10.5,4646,10.6
"C2486","5","1012","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2234,18357,1190437585,317494045,3316792,1247,64849,"",1.16,0.90,1.08,0.79,0.59,1.20,1.20,"",45,2.1,582,3.3,77960722,7.0,13152888,4.3,291166,9.6,43,3.6,2263,3.6
"C2486","5","1013","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1292,56679,3619448313,947726249,9083003,1228,63859,"",1.59,1.67,1.80,1.61,1.82,1.08,1.08,"",42,3.4,2661,4.9,253167195,7.5,59699542,6.7,-1298186,-12.5,30,2.5,1541,2.5
"C2486","5","102","42","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",19976,264072,12823576542,4051468485,33778229,934,48561,"",0.98,0.95,0.89,0.97,0.99,0.94,0.94,"",807,4.2,11221,4.4,1179669153,10.1,296041763,7.9,2475372,7.9,48,5.4,2511,5.5
"C2486","5","1021","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",4901,74497,3491327872,1129321702,6777713,901,46866,"",1.12,0.98,1.07,0.93,0.77,1.09,1.09,"",96,2.0,1724,2.4,282248036,8.8,63762717,6.0,-213648,-3.1,53,6.2,2769,6.3
"C2486","5","1022","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",478,5993,425498465,116374303,1342542,1365,70994,"",0.95,0.77,0.46,0.76,0.87,0.60,0.60,"",74,18.3,378,6.7,38595463,10.0,28749883,32.8,-294179,-18.0,40,3.0,2090,3.0
"C2486","5","1023","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2722,18109,1365946757,296173808,2177295,1451,75429,"",1.24,0.78,0.66,0.75,0.67,0.85,0.85,"",138,5.3,131,0.7,81718230,6.4,10252955,3.6,-171945,-7.3,77,5.6,3997,5.6
"C2486","5","1024","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",4903,65729,3616597581,1230225876,15213470,1058,55023,"",1.04,1.12,0.88,1.14,1.47,0.79,0.79,"",280,6.1,3007,4.8,349412747,10.7,80122686,7.0,194825,1.3,56,5.6,2933,5.6
"C2486","5","1025","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",2832,48628,2732621928,625766898,4195442,1081,56195,"",0.66,0.78,0.97,1.02,0.91,1.25,1.25,"",131,4.9,2077,4.5,245333030,9.9,42949276,7.4,1697198,67.9,53,5.2,2764,5.2
"C2486","5","1026","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",2440,42842,863231267,529486511,3194381,387,20149,"",1.22,1.10,1.00,0.98,0.77,0.91,0.91,"",54,2.3,3611,9.2,149771399,21.0,63743329,13.7,1087257,51.6,37,10.6,1963,10.8
"C2486","5","1027","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1694,8272,328269012,124037727,876985,763,39684,"",0.91,0.72,0.80,0.77,0.67,1.11,1.11,"",29,1.7,297,3.7,32585167,11.0,6439646,5.5,175699,25.1,50,7.0,2607,7.0
"C2486","5","1029","43","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","1029 Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",7,3,83660,81660,401,644,33464,"",0.01,0.01,0.00,0.01,0.00,0.59,0.59,"",5,250.0,-2,-40.0,5081,6.5,21271,35.2,165,69.9,337,109.8,17482,109.4
"C2486","5","11","44","0","2021","A","N","Greenville-Anderson-Mauldin, SC MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",102,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",-2,-1.9,0,0,0,0,0,0,0,0,0,0,0,0
"C2486","5","111","45","0","2021","A","","Greenville-Anderson-Mauldin, SC MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",21,225,9187679,3623620,49895,786,40895,"",0.19,0.15,0.20,0.13,0.15,1.32,1.32,"",3,16.7,-59,-20.8,175770,2.0,-763696,-17.4,-16812,-25.2,176,28.9,9200,29.0
