"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2894","0","10","40","0","2021","A","","Knoxville, TN MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",22653,387218,22336173154,3009162914,27463176,1109,57684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1508,7.1,12064,3.2,2045726100,10.1,193772103,6.9,1248913,4.8,69,6.6,3598,6.7
"C2894","1","10","41","0","2021","A","","Knoxville, TN MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",145,5316,516142915,0,0,1867,97085,"",1.14,0.68,0.87,0.00,0.00,1.28,1.28,"",0,0.0,-192,-3.5,14246827,2.8,0,0.0,0,0.0,115,6.6,5971,6.6
"C2894","2","10","41","0","2021","A","","Knoxville, TN MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",136,14283,893769532,0,0,1203,62576,"",0.93,1.17,1.24,0.00,0.00,1.07,1.07,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","3","10","41","0","2021","A","","Knoxville, TN MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",168,33305,1561159455,39602629,316063,901,46875,"",0.47,0.91,0.85,0.95,1.98,0.93,0.93,"N",1,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","10","41","0","2021","A","","Knoxville, TN MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",22204,334314,19365101252,2969560285,27147113,1114,57925,"",1.01,1.01,1.01,1.01,1.00,1.00,1.00,"",1507,7.3,12168,3.8,1938035475,11.1,191899123,6.9,1264017,4.9,74,7.1,3828,7.1
"C2894","5","101","42","0","2021","A","","Knoxville, TN MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2938,63180,4288425589,590563699,7391649,1305,67876,"",1.03,1.09,1.19,0.97,1.06,1.09,1.09,"",202,7.4,3223,5.4,415491892,10.7,51593026,9.6,-12051,-0.2,63,5.1,3281,5.1
"C2894","5","1011","43","0","2021","A","N","Knoxville, TN MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",96,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,"N",3,3.2,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1012","43","0","2021","A","N","Knoxville, TN MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1854,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,"N",130,7.5,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1013","43","0","2021","A","","Knoxville, TN MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",989,42959,3070987183,385372205,2909550,1375,71486,"",1.30,1.30,1.42,1.16,0.98,1.09,1.09,"",70,7.6,2197,5.4,299644627,10.8,31506006,8.9,-253830,-8.0,68,5.2,3497,5.1
"C2894","5","102","42","0","2021","A","","Knoxville, TN MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",19266,271134,15076675663,2378996586,19755464,1069,55606,"",1.01,0.99,0.97,1.02,0.97,0.97,0.97,"",1305,7.3,8945,3.4,1522543583,11.2,140306097,6.3,1276068,6.9,75,7.5,3910,7.6
"C2894","5","1021","43","0","2021","A","","Knoxville, TN MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",5080,78424,3908337361,696071679,5064335,958,49836,"",1.24,1.06,1.11,1.02,0.97,1.05,1.05,"",151,3.1,3171,4.2,505866700,14.9,52269361,8.1,428497,9.2,89,10.2,4622,10.2
"C2894","5","1022","43","0","2021","A","N","Knoxville, TN MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",620,0,0,0,0,0,0,"N",1.32,0,0,0,0,0,0,"N",171,38.1,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1023","43","0","2021","A","N","Knoxville, TN MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",2281,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,"N",196,9.4,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1024","43","0","2021","A","","Knoxville, TN MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",4628,64577,4863207212,659006082,6290727,1448,75309,"",1.05,1.13,1.10,1.09,1.03,0.98,0.98,"",506,12.3,2460,4.0,467505769,10.6,52220843,8.6,369004,6.2,87,6.4,4544,6.4
"C2894","5","1025","43","0","2021","A","","Knoxville, TN MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",2811,53912,3085324045,369063204,2791252,1101,57229,"",0.70,0.88,1.02,1.07,1.02,1.15,1.15,"",139,5.2,8,0.0,152752622,5.2,-20627047,-5.3,-152356,-5.2,55,5.3,2825,5.2
"C2894","5","1026","43","0","2021","A","","Knoxville, TN MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",2117,41169,947476509,376865492,3046753,443,23015,"",1.13,1.08,1.02,1.24,1.23,0.95,0.95,"",54,2.6,2640,6.9,166084635,21.3,41145472,12.3,414734,15.8,53,13.6,2734,13.5
"C2894","5","1027","43","0","2021","A","","Knoxville, TN MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1695,10017,398951479,79458441,1024011,766,39827,"",0.97,0.90,0.91,0.87,1.31,1.01,1.01,"",63,3.9,514,5.4,47683165,13.6,5873408,8.0,117629,13.0,55,7.7,2865,7.8
"C2894","5","1029","43","0","2021","A","","Knoxville, TN MSA","Private","1029 Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",34,28,1506171,383254,12803,1019,53003,"",0.07,0.05,0.05,0.05,0.13,0.85,0.85,"",24,240.0,9,47.4,388127,34.7,64066,20.1,-2123,-14.2,-118,-10.4,-6101,-10.3
"C2894","5","11","44","0","2021","A","","Knoxville, TN MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",68,854,33377150,7600109,123910,752,39087,"",0.30,0.25,0.28,0.21,0.26,1.10,1.10,"",2,3.0,-36,-4.0,1038376,3.2,17828,0.2,7117,6.1,53,7.6,2748,7.6
"C2894","5","111","45","0","2021","A","","Knoxville, TN MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",29,654,25201659,5711187,97550,742,38564,"",0.28,0.45,0.50,0.36,0.50,1.13,1.13,"",1,3.6,-56,-7.9,-89457,-0.4,-401296,-6.6,1788,1.9,56,8.2,2918,8.2
"C2894","5","1111","46","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 1111 Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","11111","47","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 11111 Soybean farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","111110","48","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 111110 Soybean farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","11119","47","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 11119 Other grain farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","111191","48","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 111191 Oilseed and grain combination farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.11,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1112","46","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 1112 Vegetable and melon farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,"N",-2,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","11121","47","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 11121 Vegetable and melon farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,"N",-2,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","111219","48","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 111219 Other vegetable and melon farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",10,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,"N",-2,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1113","46","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 1113 Fruit and tree nut farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","11133","47","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 11133 Noncitrus fruit and tree nut farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.05,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","111334","48","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 111334 Berry, except strawberry, farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","1114","46","0","2021","A","","Knoxville, TN MSA","Private","NAICS 1114 Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",14,530,19868833,4491438,30991,722,37524,"",0.70,1.13,1.20,0.95,0.61,1.06,1.06,"",3,27.3,-40,-7.0,930004,4.9,-208794,-4.4,-681,-2.2,83,13.0,4308,13.0
"C2894","5","11141","47","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 11141 Food crops grown under cover","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,"N",2,200.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","111411","48","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 111411 Mushroom production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",3.69,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C2894","5","111419","48","0","2021","A","N","Knoxville, TN MSA","Private","NAICS 111419 Other food crops grown under cover","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
