"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3108","0","10","40","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",658584,5810410,446124153698,47522622233,1698425166,1477,76780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13451,2.1,197707,3.5,38813065647,9.5,2460681489,5.5,-32911558,-1.9,81,5.8,4210,5.8
"C3108","1","10","41","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",577,58652,5344909050,0,0,1752,91130,"",0.16,0.50,0.45,0.00,0.00,0.90,0.90,"",-2,-0.3,-3101,-5.0,-10092622,-0.2,0,0.0,0,0.0,84,5.0,4413,5.1
"C3108","2","10","41","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2142,103685,9883110560,0,0,1833,95318,"",0.50,0.57,0.69,0.00,0.00,1.22,1.22,"",-20,-0.9,2990,3.0,601990499,6.5,0,0.0,0,0.0,60,3.4,3147,3.4
"C3108","3","10","41","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",5087,533770,43202771529,84218035,2728105,1557,80939,"",0.49,0.97,1.17,0.13,0.28,1.21,1.21,"",20,0.4,-5931,-1.1,1013774071,2.4,378374,0.5,-404819,-12.9,54,3.6,2768,3.5
"C3108","5","10","41","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",650778,5114304,387693362559,47438404198,1695697061,1458,75806,"",1.02,1.03,1.01,1.02,1.01,0.98,0.98,"",13452,2.1,203750,4.1,37207393699,10.6,2460303115,5.5,-32506739,-1.9,85,6.2,4432,6.2
"C3108","5","101","42","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",44114,717216,60217767382,6801419768,270041674,1615,83960,"",0.53,0.83,0.84,0.71,0.63,1.01,1.01,"",628,1.4,-927,-0.1,2656325638,4.6,-1719028,0.0,-19445844,-6.7,74,4.8,3807,4.7
"C3108","5","1011","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",781,8489,509983933,85416093,3017235,1155,60078,"",0.09,0.12,0.10,0.10,0.07,0.86,0.86,"",27,3.6,127,1.5,39941127,8.5,3722217,4.6,-40488,-1.3,74,6.8,3869,6.9
"C3108","5","1012","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",25771,250076,19795792351,2660213980,117761034,1522,79159,"",0.49,0.83,0.83,0.75,0.57,1.00,1.00,"",616,2.4,2788,1.1,834738463,4.4,22567251,0.9,-6254614,-5.0,47,3.2,2483,3.2
"C3108","5","1013","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",17562,458651,39911991098,4055789695,149263405,1673,87020,"",0.79,0.92,0.92,0.78,0.81,1.00,1.00,"",-15,-0.1,-3841,-0.8,1781646048,4.7,-28008496,-0.7,-13150742,-8.1,88,5.6,4575,5.5
"C3108","5","102","42","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",606664,4397088,327475595177,40636984430,1425655387,1432,74476,"",1.09,1.07,1.05,1.10,1.14,0.98,0.98,"",12824,2.2,204676,4.9,34551068061,11.8,2462022143,6.4,-13060895,-0.9,88,6.5,4606,6.6
"C3108","5","1021","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",78917,1056122,65632277137,9562130971,300372339,1195,62145,"",0.66,0.95,0.93,0.89,0.93,0.98,0.98,"",1415,1.8,36017,3.5,5962413187,10.0,318071925,3.4,-37079894,-11.0,70,6.2,3651,6.2
"C3108","5","1022","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",15703,228385,36828756340,3069485164,159748947,3101,161257,"",1.15,1.99,1.85,2.25,2.83,0.93,0.93,"",320,2.1,20617,9.9,5308312095,16.8,405798086,15.2,16896107,11.8,184,6.3,9547,6.3
"C3108","5","1023","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",45701,327057,42140560587,2950676851,120838268,2478,128848,"",0.77,0.97,0.95,0.84,1.01,0.98,0.98,"",1425,3.2,1125,0.3,3536757620,9.2,71142404,2.5,-6425492,-5.0,200,8.8,10407,8.8
"C3108","5","1024","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",84629,935828,88306566577,10184912592,399069789,1815,94362,"",0.66,1.09,1.00,1.06,1.05,0.92,0.92,"",2715,3.3,41012,4.6,9755406669,12.4,732130222,7.7,6789060,1.7,127,7.5,6577,7.5
"C3108","5","1025","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",293913,1061300,58359816079,7272598077,220560397,1057,54989,"",2.51,1.16,0.96,1.34,1.30,0.83,0.83,"",6163,2.1,36744,3.6,4211326262,7.8,401378583,5.8,21891,0.0,41,4.0,2138,4.0
"C3108","5","1026","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",51018,613382,27743336832,6076810056,175455271,870,45230,"",0.93,1.07,1.50,1.27,1.15,1.39,1.40,"",908,1.8,59273,10.7,4910454692,21.5,470506565,8.4,7462556,4.4,78,9.8,4024,9.8
"C3108","5","1027","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",36749,174955,8460136825,1519673995,49587111,930,48356,"",0.72,1.04,0.96,1.06,1.03,0.92,0.92,"",-144,-0.4,9843,6.0,863186045,11.4,62633493,4.3,-736605,-1.5,45,5.1,2345,5.1
"C3108","5","1029","43","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","1029 Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",34,59,4144800,696724,23265,1347,70053,"",0.00,0.01,0.01,0.01,0.00,0.84,0.84,"",22,183.3,46,353.8,3211491,344.1,360865,107.4,11482,97.4,-70,-4.9,-3629,-4.9
"C3108","5","11","44","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",652,6507,319252628,66742304,2100018,943,49062,"",0.10,0.13,0.13,0.12,0.07,1.03,1.04,"",27,4.3,244,3.9,41789620,15.1,6154018,10.2,121837,6.2,91,10.7,4762,10.7
"C3108","5","111","45","0","2021","A","","Los Angeles-Long Beach-Anaheim, CA MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",342,4450,215487279,45794777,1451141,931,48430,"",0.11,0.20,0.21,0.19,0.12,1.06,1.06,"",27,8.6,435,10.8,37469267,21.0,4481328,10.8,82363,6.0,78,9.1,4092,9.2
"C3108","5","1111","46","0","2021","A","N","Los Angeles-Long Beach-Anaheim, CA MSA","Private","NAICS 1111 Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",14,0,0,0,0,0,0,"N",0.02,0,0,0,0,0,0,"N",4,40.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3108","5","11112","47","0","2021","A","N","Los Angeles-Long Beach-Anaheim, CA MSA","Private","NAICS 11112 Oilseed, except soybean, farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
