"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3894","0","10","40","0","2021","A","","Port St. Lucie, FL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",14666,151764,7434275363,1202492677,8666882,942,48986,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",708,5.1,6301,4.3,750567807,11.2,69104591,6.1,1873696,27.6,58,6.6,3038,6.6
"C3894","1","10","41","0","2021","A","","Port St. Lucie, FL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",45,1018,77120835,0,0,1457,75788,"",0.55,0.33,0.39,0.00,0.00,1.17,1.17,"",0,0.0,-68,-6.3,2516462,3.4,0,0.0,0,0.0,136,10.3,7070,10.3
"C3894","2","10","41","0","2021","A","","Port St. Lucie, FL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",67,3501,158234655,0,0,869,45196,"",0.71,0.73,0.66,0.00,0.00,0.91,0.91,"",-2,-2.9,-50,-1.4,-164272,-0.1,0,0.0,0,0.0,11,1.3,593,1.3
"C3894","3","10","41","0","2021","A","","Port St. Lucie, FL MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",31,13834,796904777,0,0,1108,57605,"",0.13,0.96,1.30,0.00,0.00,1.35,1.35,"",1,3.3,-82,-0.6,26303694,3.4,0,0.0,0,0.0,43,4.0,2231,4.0
"C3894","5","10","41","0","2021","A","","Port St. Lucie, FL MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",14523,133412,6402015096,1202492677,8666882,923,47987,"",1.02,1.03,1.00,1.02,1.01,0.97,0.97,"",709,5.1,6503,5.1,721911923,12.7,69104591,6.1,1873696,27.6,62,7.2,3230,7.2
"C3894","5","101","42","0","2021","A","","Port St. Lucie, FL MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2587,21084,1109054669,207453069,1670972,1012,52601,"",1.40,0.93,0.92,0.85,0.76,0.99,0.99,"",62,2.5,703,3.4,87876289,8.6,7499281,3.8,446073,36.4,48,5.0,2496,5.0
"C3894","5","1011","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",126,1012,42719448,8951969,117397,812,42202,"",0.66,0.54,0.52,0.42,0.57,0.95,0.95,"",-8,-6.0,-138,-12.0,-2983417,-6.5,-1383146,-13.4,-5378,-4.4,48,6.3,2457,6.2
"C3894","5","1012","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1994,12426,636588634,124616164,845292,985,51231,"",1.70,1.59,1.61,1.38,0.80,1.01,1.01,"",57,2.9,476,4.0,50864758,8.7,3752300,3.1,210366,33.1,42,4.5,2215,4.5
"C3894","5","1013","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",467,7646,429746587,73884936,708283,1081,56205,"",0.95,0.59,0.60,0.56,0.76,1.01,1.01,"",12,2.6,365,5.0,39994948,10.3,5130127,7.5,241085,51.6,52,5.1,2676,5.0
"C3894","5","102","42","0","2021","A","","Port St. Lucie, FL MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",11937,112328,5292960427,995039608,6995910,906,47121,"",0.96,1.05,1.02,1.06,1.09,0.97,0.97,"",648,5.7,5799,5.4,634035634,13.6,61605310,6.6,1427623,25.6,65,7.7,3387,7.7
"C3894","5","1021","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",2681,31557,1455100951,282019993,1591252,887,46111,"",1.01,1.09,1.24,1.04,0.97,1.14,1.14,"",120,4.7,1631,5.5,159401902,12.3,-411695,-0.1,399455,33.5,54,6.5,2814,6.5
"C3894","5","1022","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",169,1064,74539428,9513761,94713,1347,70039,"",0.56,0.36,0.22,0.28,0.33,0.63,0.63,"",32,23.4,43,4.2,12967195,21.1,1708333,21.9,42516,81.5,188,16.2,9758,16.2
"C3894","5","1023","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1445,5705,436718492,49895767,434438,1472,76550,"",1.09,0.65,0.59,0.56,0.71,0.92,0.92,"",97,7.2,66,1.2,45551550,11.6,3068786,6.6,149153,52.3,138,10.3,7179,10.3
"C3894","5","1024","43","0","2021","A","","Port St. Lucie, FL MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",3166,20402,1068591156,208981971,1377331,1007,52378,"",1.11,0.91,0.73,0.86,0.71,0.80,0.80,"",263,9.1,865,4.4,148754169,16.2,16586091,8.6,-47047,-3.3,102,11.3,5296,11.2
