"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4162","0","10","40","0","2021","A","","Salt Lake City, UT MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",57276,756989,49798944155,21464708278,111905319,1265,65786,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4986,9.5,32705,4.5,4799687087,10.7,2278258268,11.9,29728846,36.2,70,5.9,3657,5.9
"C4162","1","10","41","0","2021","A","","Salt Lake City, UT MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",175,12695,1046429531,0,0,1585,82432,"",0.54,0.84,0.79,0.00,0.00,0.95,0.95,"",4,2.3,-306,-2.4,21387022,2.1,0,0.0,0,0.0,69,4.6,3587,4.5
"C4162","2","10","41","0","2021","A","","Salt Lake City, UT MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",301,46756,3275218932,3141816,7542,1347,70049,"",0.82,1.96,2.05,0.03,0.06,1.05,1.05,"",-4,-1.3,456,1.0,240111502,7.9,618695,24.5,2751,57.4,86,6.8,4495,6.9
"C4162","3","10","41","0","2021","A","","Salt Lake City, UT MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",591,45817,2274746486,38990830,143146,955,49649,"",0.66,0.64,0.55,0.13,0.22,0.87,0.87,"",12,2.1,774,1.7,120819075,5.6,5206200,15.4,56011,64.3,35,3.8,1830,3.8
"C4162","5","10","41","0","2021","A","","Salt Lake City, UT MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",56210,651722,43202549206,21422575632,111754631,1275,66290,"",1.01,1.01,1.01,1.02,1.01,1.00,1.00,"",4973,9.7,31782,5.1,4417369488,11.4,2272433373,11.9,29670084,36.1,72,6.0,3727,6.0
"C4162","5","101","42","0","2021","A","","Salt Lake City, UT MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",7615,114251,7803588471,4428829414,31979334,1314,68302,"",1.05,1.01,0.97,1.02,1.13,0.96,0.96,"",468,6.5,6078,5.6,597797775,8.3,440039246,11.0,4483053,16.3,33,2.6,1688,2.5
"C4162","5","1011","43","0","2021","A","","Salt Lake City, UT MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",182,3366,302028287,134838826,1614089,1726,89740,"",0.25,0.36,0.54,0.36,0.60,1.50,1.50,"",7,4.0,65,2.0,11188461,3.8,12176330,9.9,200246,14.2,31,1.8,1625,1.8
"C4162","5","1012","43","0","2021","A","","Salt Lake City, UT MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",5107,50395,3320462037,2008976504,20118460,1267,65889,"",1.12,1.29,1.25,1.25,1.47,0.97,0.97,"",312,6.5,3392,7.2,323215856,10.8,225351614,12.6,1924745,10.6,41,3.3,2122,3.3
"C4162","5","1013","43","0","2021","A","","Salt Lake City, UT MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",2326,60490,4181098147,2285014084,10246785,1329,69120,"",1.21,0.93,0.87,0.97,0.85,0.93,0.93,"",149,6.8,2621,4.5,263393458,6.7,202511302,9.7,2358062,29.9,27,2.1,1420,2.1
"C4162","5","102","42","0","2021","A","","Salt Lake City, UT MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",48595,537471,35398960735,16993746218,79775297,1267,65862,"",1.00,1.01,1.02,1.02,0.96,1.01,1.01,"",4505,10.2,25703,5.0,3819571713,12.1,1832394127,12.1,25187031,46.1,80,6.7,4156,6.7
