"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4214","0","10","40","0","2021","A","","Santa Fe, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",6419,57950,3073552639,1035138213,7468110,1020,53038,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",238,3.9,1732,3.1,277066751,9.9,105680602,11.4,1606980,27.4,63,6.6,3294,6.6
"C4214","1","10","41","0","2021","A","","Santa Fe, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",32,942,76090673,0,0,1553,80747,"",0.89,0.81,0.94,0.00,0.00,1.15,1.15,"",1,3.2,-26,-2.7,3744197,5.2,0,0.0,0,0.0,116,8.1,6041,8.1
"C4214","2","10","41","0","2021","A","","Santa Fe, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",167,7692,507831637,359936,7504,1270,66025,"",4.04,4.20,5.14,0.06,0.87,1.22,1.22,"",0,0.0,64,0.8,31360258,6.6,-19477,-5.1,-2329,-23.7,69,5.7,3564,5.7
"C4214","3","10","41","0","2021","A","","Santa Fe, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",119,5841,295304823,15806866,149529,972,50555,"",1.18,1.06,1.16,1.10,3.44,1.09,1.09,"",0,0.0,-373,-6.0,-1268698,-0.4,383186,2.5,42379,39.6,54,5.9,2832,5.9
"C4214","5","10","41","0","2021","A","","Santa Fe, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",6101,43475,2194325506,1018971411,7311077,971,50473,"",0.98,0.88,0.83,1.00,0.99,0.95,0.95,"",237,4.0,2068,5.0,243230994,12.5,105316893,11.5,1566930,27.3,65,7.2,3353,7.1
"C4214","5","101","42","0","2021","A","","Santa Fe, NM MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",777,4142,190970866,115955794,927540,887,46104,"",0.96,0.48,0.39,0.55,0.49,0.81,0.80,"",1,0.1,23,0.6,12005370,6.7,6840980,6.3,-64203,-6.5,51,6.1,2652,6.1
"C4214","5","1011","43","0","2021","A","","Santa Fe, NM MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",71,365,14423156,9243075,73624,760,39515,"",0.85,0.51,0.42,0.51,0.41,0.82,0.82,"",1,1.4,-47,-11.4,-2268200,-13.6,-1481360,-13.8,-50787,-40.8,-19,-2.4,-973,-2.4
"C4214","5","1012","43","0","2021","A","","Santa Fe, NM MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",549,2974,140875889,85581094,715037,911,47363,"",1.07,0.99,0.86,1.10,0.78,0.86,0.86,"",8,1.5,59,2.0,12093610,9.4,7144154,9.1,-33633,-4.5,61,7.2,3176,7.2
"C4214","5","1013","43","0","2021","A","","Santa Fe, NM MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",157,803,35671821,21131625,138879,855,44437,"",0.73,0.16,0.12,0.19,0.17,0.74,0.74,"",-7,-4.3,11,1.4,2179960,6.5,1178186,5.9,20217,17.0,42,5.2,2145,5.1
"C4214","5","102","42","0","2021","A","","Santa Fe, NM MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",5324,39333,2003354640,903015617,6383537,979,50934,"",0.98,0.96,0.93,1.12,1.16,0.97,0.97,"",235,4.6,2045,5.5,231225624,13.0,98475913,12.2,1631133,34.3,65,7.1,3409,7.2
"C4214","5","1021","43","0","2021","A","","Santa Fe, NM MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",994,9818,412412103,239423272,1459776,808,42007,"",0.85,0.88,0.85,1.02,1.03,0.96,0.96,"",-7,-0.7,394,4.2,48140554,13.2,15793233,7.1,317963,27.8,65,8.7,3354,8.7
"C4214","5","1022","43","0","2021","A","","Santa Fe, NM MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",180,839,65721447,29324131,532981,1506,78294,"",1.35,0.73,0.48,0.99,2.15,0.65,0.65,"",36,25.0,100,13.5,15406666,30.6,8450149,40.5,236969,80.1,197,15.0,10209,15.0
"C4214","5","1023","43","0","2021","A","","Santa Fe, NM MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",569,2260,239965260,65994997,445601,2042,106168,"",0.98,0.67,0.79,0.86,0.84,1.17,1.17,"",36,6.8,15,0.7,22105406,10.1,4164907,6.7,51501,13.1,175,9.4,9104,9.4
"C4214","5","1024","43","0","2021","A","","Santa Fe, NM MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1414,5251,334969951,142839643,1006187,1227,63794,"",1.13,0.61,0.55,0.68,0.60,0.90,0.90,"",121,9.4,238,4.7,31804156,10.5,14302760,11.1,84501,9.2,64,5.5,3313,5.5
"C4214","5","1025","43","0","2021","A","","Santa Fe, NM MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",929,9600,526311993,158081879,1035682,1054,54822,"",0.82,1.05,1.26,1.34,1.39,1.20,1.20,"",5,0.5,314,3.4,32766295,6.6,14041803,9.7,186526,22.0,32,3.1,1671,3.1
"C4214","5","1026","43","0","2021","A","","Santa Fe, NM MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",614,9045,307401991,204125970,1495801,654,33987,"",1.15,1.59,2.41,1.96,2.22,1.52,1.52,"",14,2.3,856,10.5,68561151,28.7,34805393,20.6,693436,86.4,93,16.6,4822,16.5
"C4214","5","1027","43","0","2021","A","","Santa Fe, NM MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",624,2520,116571895,63225725,407509,890,46268,"",1.26,1.51,1.93,2.02,1.92,1.28,1.28,"",28,4.7,127,5.3,12441396,11.9,6917668,12.3,60237,17.3,53,6.3,2753,6.3
"C4214","5","11","44","0","2021","A","","Santa Fe, NM MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",53,319,11082957,7879901,66087,669,34770,"",0.82,0.63,0.67,0.62,0.52,1.06,1.06,"",-1,-1.9,-40,-11.1,-1474293,-11.7,-1017970,-11.4,-41457,-38.5,-4,-0.6,-249,-0.7
"C4214","5","111","45","0","2021","A","","Santa Fe, NM MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",16,156,5809661,3977030,42917,717,37281,"",0.54,0.71,0.84,0.74,0.81,1.19,1.18,"",-1,-5.9,-27,-14.8,-604194,-9.4,-614007,-13.4,-30953,-41.9,45,6.7,2312,6.6
"C4214","5","1111","46","0","2021","A","N","Santa Fe, NM MSA","Private","NAICS 1111 Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
