"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4330","0","10","40","0","2021","A","","Sherman-Denison, TX MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",3180,48147,2438177997,446392653,6726833,974,50641,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",59,1.9,1371,2.9,222242006,10.0,21311976,5.0,1232028,22.4,63,6.9,3267,6.9
"C4330","1","10","41","0","2021","A","","Sherman-Denison, TX MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26,350,26579038,0,0,1461,75958,"",1.46,0.36,0.41,0.00,0.00,1.14,1.14,"",0,0.0,-25,-6.7,-70354,-0.3,0,0.0,0,0.0,96,7.0,4972,7.0
"C4330","2","10","41","0","2021","A","","Sherman-Denison, TX MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16,226,12474731,0,0,1063,55259,"",0.78,0.15,0.16,0.00,0.00,1.07,1.07,"",0,0.0,2,0.9,882712,7.6,0,0.0,0,0.0,66,6.6,3393,6.5
"C4330","3","10","41","0","2021","A","","Sherman-Denison, TX MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",97,6738,306407804,6255463,174338,874,45472,"",1.94,1.48,1.52,1.01,4.45,1.03,1.03,"",6,6.6,196,3.0,12431518,4.2,388447,6.6,80501,85.8,10,1.2,535,1.2
"C4330","5","10","41","0","2021","A","","Sherman-Denison, TX MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3041,40832,2092716424,440137190,6552495,986,51251,"",0.98,0.99,1.00,1.01,0.98,1.01,1.01,"",52,1.7,1197,3.0,208998130,11.1,20923529,5.0,1151527,21.3,72,7.9,3724,7.8
"C4330","5","101","42","0","2021","A","","Sherman-Denison, TX MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",516,8880,619574402,100927081,1773788,1342,69776,"",1.28,1.23,1.57,1.12,1.04,1.28,1.28,"",20,4.0,531,6.4,82370433,15.3,6724024,7.1,315784,21.7,105,8.5,5434,8.4
"C4330","5","1011","43","0","2021","A","","Sherman-Denison, TX MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",73,291,14617572,3325214,49580,966,50232,"",1.77,0.49,0.54,0.42,0.31,1.09,1.09,"",4,5.8,-2,-0.7,-124925,-0.8,-13955,-0.4,8010,19.3,-1,-0.1,-69,-0.1
"C4330","5","1012","43","0","2021","A","","Sherman-Denison, TX MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",317,3071,187593574,37631096,671077,1175,61087,"",1.25,1.24,1.44,1.13,0.82,1.17,1.17,"",19,6.4,234,8.2,19599397,11.7,2955754,8.5,119085,21.6,36,3.2,1872,3.2
"C4330","5","1013","43","0","2021","A","","Sherman-Denison, TX MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",126,5518,417363256,59970771,1053131,1455,75642,"",1.18,1.34,1.77,1.22,1.45,1.32,1.32,"",-4,-3.1,299,5.7,62895961,17.7,3782225,6.7,188689,21.8,149,11.4,7724,11.4
"C4330","5","102","42","0","2021","A","","Sherman-Denison, TX MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2526,31953,1473142022,339210109,4778707,887,46104,"",0.94,0.94,0.87,0.98,0.96,0.92,0.92,"",33,1.3,667,2.1,126627697,9.4,14199505,4.4,835743,21.2,59,7.1,3065,7.1
"C4330","5","1021","43","0","2021","A","","Sherman-Denison, TX MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",649,8985,428749109,90571616,1300229,918,47717,"",1.12,0.97,1.11,0.90,1.02,1.14,1.14,"",16,2.5,349,4.0,60282455,16.4,-215349,-0.2,254313,24.3,97,11.8,5050,11.8
"C4330","5","1022","43","0","2021","A","","Sherman-Denison, TX MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",38,402,18935275,4007298,66878,905,47054,"",0.58,0.42,0.17,0.31,0.30,0.41,0.41,"",3,8.6,18,4.7,916679,5.1,439147,12.3,-19457,-22.5,3,0.3,161,0.3
"C4330","5","1023","43","0","2021","A","","Sherman-Denison, TX MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",306,1941,126217868,19360113,334708,1251,65033,"",1.06,0.69,0.52,0.59,0.70,0.75,0.75,"",6,2.0,-184,-8.7,1133845,0.9,661207,3.5,57850,20.9,119,10.5,6161,10.5
