"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4550","0","10","40","0","2021","A","","Texarkana, TX-AR MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",3589,56429,2588665805,488878351,7620606,882,45874,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,0.7,845,1.5,126899794,5.2,52358469,12.0,1369587,21.9,30,3.5,1585,3.6
"C4550","1","10","41","0","2021","A","","Texarkana, TX-AR MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",56,3245,208834311,0,0,1238,64364,"",2.78,2.87,3.05,0.00,0.00,1.06,1.06,"",1,1.8,-190,-5.5,-8816334,-4.1,0,0.0,0,0.0,20,1.6,1008,1.6
"C4550","2","10","41","0","2021","A","","Texarkana, TX-AR MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",45,1761,83834310,0,0,915,47597,"",1.95,0.99,1.01,0.00,0.00,1.02,1.02,"",-2,-4.3,-145,-7.6,-4086414,-4.6,0,0.0,0,0.0,28,3.2,1463,3.2
"C4550","3","10","41","0","2021","A","","Texarkana, TX-AR MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",102,6973,302046959,9227367,158184,833,43317,"",1.81,1.30,1.41,1.36,3.56,1.08,1.08,"",0,0.0,161,2.4,13543507,4.7,1938919,26.6,67907,75.2,19,2.3,964,2.3
"C4550","5","10","41","0","2021","A","","Texarkana, TX-AR MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3386,44451,1993950225,479650984,7462422,863,44858,"",0.97,0.92,0.90,1.00,0.99,0.97,0.97,"",25,0.7,1020,2.3,126259035,6.8,50419550,11.7,1301680,21.1,36,4.4,1855,4.3
"C4550","5","101","42","0","2021","A","","Texarkana, TX-AR MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",455,8538,508501314,103458532,1717337,1145,59561,"",1.00,1.01,1.22,1.04,0.89,1.20,1.20,"",1,0.2,435,5.4,14966256,3.0,19941485,23.9,355556,26.1,-26,-2.2,-1344,-2.2
"C4550","5","1011","43","0","2021","A","","Texarkana, TX-AR MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",79,458,21726494,6330510,129964,911,47395,"",1.70,0.66,0.75,0.73,0.71,1.14,1.14,"",-5,-6.0,-25,-5.2,759907,3.6,1272116,25.1,30367,30.5,76,9.1,3978,9.2
"C4550","5","1012","43","0","2021","A","","Texarkana, TX-AR MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",261,2503,121653696,31310197,788616,935,48610,"",0.91,0.86,0.88,0.85,0.85,1.03,1.03,"",9,3.6,102,4.2,6975976,6.1,4160086,15.3,137211,21.1,17,1.9,852,1.8
"C4550","5","1013","43","0","2021","A","","Texarkana, TX-AR MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",115,5576,365121124,65817825,798757,1259,65476,"",0.95,1.15,1.46,1.22,0.97,1.26,1.26,"",-4,-3.4,357,6.8,7230373,2.0,14509283,28.3,187978,30.8,-60,-4.5,-3096,-4.5
"C4550","5","102","42","0","2021","A","","Texarkana, TX-AR MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2931,35913,1485448911,376192452,5745085,795,41362,"",0.97,0.90,0.82,0.99,1.02,0.91,0.91,"",24,0.8,585,1.7,111292779,8.1,30478065,8.8,946124,19.7,47,6.3,2465,6.3
