"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4862","0","10","40","0","2021","A","","Wichita, KS MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",15974,287201,14722945888,4970607004,79016457,986,51264,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",474,3.1,6120,2.2,587383853,4.2,206680251,4.3,15955612,25.3,19,2.0,974,1.9
"C4862","1","10","41","0","2021","A","","Wichita, KS MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",129,5095,372053603,0,0,1404,73020,"",1.44,0.88,0.96,0.00,0.00,1.08,1.08,"",0,0.0,-37,-0.7,7787132,2.1,0,0.0,0,0.0,39,2.9,2045,2.9
"C4862","2","10","41","0","2021","A","","Wichita, KS MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",69,5036,269156218,21498,1161,1028,53447,"",0.67,0.56,0.57,0.00,0.01,1.02,1.02,"",3,4.5,16,0.3,15057556,5.9,-467784,-95.6,-613,-34.6,55,5.7,2834,5.6
"C4862","3","10","41","0","2021","A","","Wichita, KS MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",295,29809,1335092818,1304737541,1507636,861,44789,"",1.18,1.09,1.10,18.98,3.27,1.00,1.00,"",0,0.0,990,3.4,96044762,7.8,94801806,7.8,91596,6.5,34,4.1,1795,4.2
"C4862","5","10","41","0","2021","A","","Wichita, KS MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",15481,247261,12746643249,3665847965,77507660,991,51551,"",1.00,1.01,1.01,0.75,0.99,1.00,1.00,"",471,3.1,5151,2.1,468494403,3.8,112346229,3.2,15864629,25.7,16,1.6,838,1.7
"C4862","5","101","42","0","2021","A","","Wichita, KS MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",2485,63324,4197810463,1064107210,34165975,1275,66291,"",1.23,1.48,1.77,1.06,1.70,1.20,1.20,"",34,1.4,-237,-0.4,38666521,0.9,-32309217,-2.9,4328034,14.5,17,1.4,855,1.3
"C4862","5","1011","43","0","2021","A","","Wichita, KS MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",239,1057,65301294,18149608,310346,1188,61799,"",1.15,0.30,0.40,0.21,0.16,1.33,1.33,"",-8,-3.2,10,1.0,6564259,11.2,343819,1.9,85309,37.9,109,10.1,5681,10.1
"C4862","5","1012","43","0","2021","A","","Wichita, KS MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1528,16364,915416665,292119251,8890976,1076,55942,"",1.20,1.10,1.17,0.78,0.92,1.06,1.06,"",36,2.4,94,0.6,9330065,1.0,6370682,2.2,760530,9.4,5,0.5,250,0.4
"C4862","5","1013","43","0","2021","A","","Wichita, KS MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",719,45904,3217092504,753838351,24964653,1348,70083,"",1.34,1.87,2.25,1.38,2.92,1.21,1.21,"",7,1.0,-341,-0.7,22772197,0.7,-39023718,-4.9,3482195,16.2,20,1.5,1009,1.5
"C4862","5","102","42","0","2021","A","","Wichita, KS MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",12996,183937,8548832786,2601740755,43341685,894,46477,"",0.96,0.91,0.83,0.67,0.74,0.92,0.92,"",437,3.5,5388,3.0,429827882,5.3,144655446,5.9,11536595,36.3,20,2.3,1005,2.2
"C4862","5","1021","43","0","2021","A","","Wichita, KS MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",3327,49871,2142452667,746483453,11755419,826,42960,"",1.15,0.91,0.92,0.66,0.78,1.02,1.02,"",40,1.2,1855,3.9,186899666,9.6,41949917,6.0,3734201,46.6,43,5.5,2233,5.5
"C4862","5","1022","43","0","2021","A","N","Wichita, KS MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",267,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,"N",58,27.8,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","1023","43","0","2021","A","","Wichita, KS MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1656,11635,732489692,192770107,3481734,1211,62958,"",1.15,0.70,0.50,0.52,0.62,0.72,0.72,"",25,1.5,194,1.7,57471735,8.5,12106346,6.7,1039974,42.6,76,6.7,3956,6.7
"C4862","5","1024","43","0","2021","A","","Wichita, KS MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",3138,34579,2330471911,606373789,11710173,1296,67396,"",1.01,0.81,0.80,0.61,0.66,0.99,0.99,"",245,8.5,503,1.5,12510416,0.5,35602179,6.2,2192111,23.0,-12,-0.9,-628,-0.9
"C4862","5","1025","43","0","2021","A","","Wichita, KS MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",1886,45562,2201539056,515498990,8068659,929,48319,"",0.67,1.00,1.10,0.91,1.02,1.10,1.10,"",-5,-0.3,-369,-0.8,27044564,1.2,1264010,0.2,1988952,32.7,19,2.1,977,2.1
"C4862","5","1026","43","0","2021","A","","Wichita, KS MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",1553,31654,628744080,376775001,5393693,382,19863,"",1.17,1.12,1.03,0.75,0.76,0.92,0.92,"",53,3.5,3088,10.8,126587576,25.2,49916962,15.3,2017624,59.8,44,13.0,2284,13.0
"C4862","5","1027","43","0","2021","A","N","Wichita, KS MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",1170,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,"N",20,1.7,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","11","44","0","2021","A","","Wichita, KS MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",104,412,19766287,6921981,111592,922,47967,"",0.64,0.17,0.25,0.11,0.08,1.51,1.52,"",1,1.0,10,2.5,2671358,15.6,345985,5.3,30542,37.7,103,12.6,5398,12.7
"C4862","5","111","45","0","2021","A","","Wichita, KS MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",45,173,6419939,2743253,44940,714,37109,"",0.61,0.16,0.19,0.11,0.08,1.22,1.22,"N",2,4.7,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","1111","46","0","2021","A","","Wichita, KS MSA","Private","NAICS 1111 Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",36,121,4520686,1923729,26177,720,37438,"",1.84,1.11,1.25,0.72,0.78,1.13,1.13,"",2,5.9,2,1.7,430055,10.5,112792,6.2,10342,65.3,61,9.3,3183,9.3
"C4862","5","11111","47","0","2021","A","N","Wichita, KS MSA","Private","NAICS 11111 Soybean farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111110","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111110 Soybean farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","11114","47","0","2021","A","","Wichita, KS MSA","Private","NAICS 11114 Wheat farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",9,20,753186,364514,6161,736,38298,"",3.09,1.74,2.13,0.89,1.62,1.24,1.25,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111140","48","0","2021","A","","Wichita, KS MSA","Private","NAICS 111140 Wheat farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",9,20,753186,364514,6161,736,38298,"",3.09,1.74,2.13,0.89,1.62,1.24,1.25,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","11115","47","0","2021","A","N","Wichita, KS MSA","Private","NAICS 11115 Corn farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111150","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111150 Corn farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","11119","47","0","2021","A","N","Wichita, KS MSA","Private","NAICS 11119 Other grain farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",25,0,0,0,0,0,0,"N",3.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111191","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111191 Oilseed and grain combination farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",25,0,0,0,0,0,0,"N",4.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111199","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111199 All other grain farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","1114","46","0","2021","A","N","Wichita, KS MSA","Private","NAICS 1114 Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","11141","47","0","2021","A","N","Wichita, KS MSA","Private","NAICS 11141 Food crops grown under cover","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111411","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111411 Mushroom production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111419","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111419 Other food crops grown under cover","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","11142","47","0","2021","A","N","Wichita, KS MSA","Private","NAICS 11142 Nursery and floriculture production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111421","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111421 Nursery and tree production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","111422","48","0","2021","A","N","Wichita, KS MSA","Private","NAICS 111422 Floriculture production","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C4862","5","1119","46","0","2021","A","N","Wichita, KS MSA","Private","NAICS 1119 Other crop farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
