"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4866","0","10","40","0","2021","A","","Wichita Falls, TX MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",3831,55852,2508073721,416849463,5881438,864,44905,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,1.2,781,1.4,141957137,6.0,11103905,2.7,1144378,24.2,38,4.6,1940,4.5
"C4866","1","10","41","0","2021","A","","Wichita Falls, TX MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",56,1916,111472149,0,0,1119,58169,"",2.61,1.71,1.68,0.00,0.00,0.98,0.98,"",1,1.8,-14,-0.7,2897886,2.7,0,0.0,0,0.0,37,3.4,1918,3.4
"C4866","2","10","41","0","2021","A","","Wichita Falls, TX MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",36,3000,150651151,0,0,966,50216,"",1.46,1.70,1.87,0.00,0.00,1.10,1.10,"",0,0.0,-81,-2.6,450439,0.3,0,0.0,0,0.0,28,3.0,1464,3.0
"C4866","3","10","41","0","2021","A","","Wichita Falls, TX MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",139,6975,310366528,4583135,127223,856,44495,"",2.31,1.32,1.50,0.79,3.71,1.14,1.14,"",4,3.0,50,0.7,6305937,2.1,97464,2.2,55491,77.4,12,1.4,585,1.3
"C4866","5","10","41","0","2021","A","","Wichita Falls, TX MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3600,43961,1935583893,412266328,5754215,847,44030,"",0.97,0.92,0.90,1.01,0.99,0.97,0.97,"",42,1.2,826,1.9,132302875,7.3,11006441,2.7,1088887,23.3,43,5.3,2225,5.3
"C4866","5","101","42","0","2021","A","","Wichita Falls, TX MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",681,7485,436542152,82744927,1384177,1122,58321,"",1.41,0.90,1.08,0.98,0.93,1.20,1.20,"",21,3.2,-221,-2.9,-6172606,-1.4,-4623587,-5.3,188544,15.8,17,1.5,873,1.5
"C4866","5","1011","43","0","2021","A","","Wichita Falls, TX MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",232,1071,67971127,12147338,173068,1221,63490,"",4.67,1.57,2.43,1.65,1.23,1.55,1.55,"",-5,-2.1,-87,-7.5,-4042593,-5.6,-2162275,-15.1,-7161,-4.0,25,2.1,1315,2.1
"C4866","5","1012","43","0","2021","A","","Wichita Falls, TX MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",308,1890,93172455,21569284,344816,948,49306,"",1.01,0.66,0.70,0.69,0.48,1.06,1.06,"",23,8.1,40,2.2,2466685,2.7,615973,2.9,21731,6.7,5,0.5,271,0.6
"C4866","5","1013","43","0","2021","A","","Wichita Falls, TX MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",141,4525,275398570,49028305,866293,1170,60863,"",1.10,0.95,1.13,1.07,1.36,1.20,1.20,"",4,2.9,-173,-3.7,-4596698,-1.6,-3077285,-5.9,173974,25.1,24,2.1,1268,2.1
"C4866","5","102","42","0","2021","A","","Wichita Falls, TX MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2919,36476,1499041741,329521401,4370038,790,41097,"",0.90,0.93,0.86,1.02,1.01,0.92,0.92,"",21,0.7,1047,3.0,138475481,10.2,15630028,5.0,900343,25.9,51,6.9,2694,7.0
