"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4934","0","10","40","0","2021","A","","Worcester, MA-CT MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",30906,375099,23836570842,6099305601,161125183,1222,63547,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1273,4.3,13004,3.6,1627565146,7.3,182497679,3.1,2082268,1.3,42,3.6,2212,3.6
"C4934","1","10","41","0","2021","A","","Worcester, MA-CT MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",169,3168,230375567,0,0,1398,72710,"",0.97,0.42,0.37,0.00,0.00,0.87,0.87,"",1,0.6,-183,-5.5,322432,0.1,0,0.0,0,0.0,78,5.9,4063,5.9
"C4934","2","10","41","0","2021","A","N","Worcester, MA-CT MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",333,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,"N",3,0.9,0,0,0,0,0,0,0,0,0,0,0,0
"C4934","3","10","41","0","2021","A","N","Worcester, MA-CT MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",865,0,0,0,0,0,0,"N",1.78,0,0,0,0,0,0,"N",-3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0
"C4934","5","10","41","0","2021","A","","Worcester, MA-CT MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",29539,318824,20108742775,4685523027,155129332,1213,63072,"",0.98,1.00,0.98,0.78,0.97,0.99,0.99,"",1273,4.5,12802,4.2,1512340991,8.1,130134695,2.9,-867920,-0.6,44,3.8,2304,3.8
"C4934","5","101","42","0","2021","A","","Worcester, MA-CT MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",4005,59495,4659618893,1066100680,46728917,1506,78319,"",1.02,1.06,1.21,0.86,1.14,1.14,1.14,"",180,4.7,2336,4.1,287179880,6.6,-1234425,-0.1,-1376840,-2.9,35,2.4,1823,2.4
"C4934","5","1011","43","0","2021","A","","Worcester, MA-CT MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",156,1855,76031680,31020364,1365272,788,40997,"",0.39,0.40,0.29,0.29,0.35,0.71,0.71,"",2,1.3,153,9.0,7131163,10.3,2855671,10.1,113975,9.1,9,1.2,509,1.3
"C4934","5","1012","43","0","2021","A","","Worcester, MA-CT MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",2799,17582,1360875493,342793618,22650663,1489,77404,"",1.13,0.91,1.07,0.75,1.15,1.18,1.18,"",181,6.9,1637,10.3,166773345,14.0,22205899,6.9,597517,2.7,49,3.4,2515,3.4
"C4934","5","1013","43","0","2021","A","","Worcester, MA-CT MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",1050,40059,3222711720,692286698,22712982,1547,80449,"",1.01,1.25,1.39,1.03,1.30,1.12,1.12,"",-3,-0.3,547,1.4,113275372,3.6,-26295995,-3.7,-2088332,-8.4,34,2.2,1753,2.2
"C4934","5","102","42","0","2021","A","","Worcester, MA-CT MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",25535,259328,15449123882,3619422347,108400415,1146,59574,"",0.98,0.98,0.93,0.76,0.91,0.95,0.95,"",1094,4.5,10464,4.2,1225161111,8.6,131369120,3.8,508920,0.5,47,4.3,2418,4.2
