"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02110","0","10","70","0","2022","A","","Juneau City and Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1123,16965,1063777214,397612649,8696568,1206,62704,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-1.6,882,5.5,94485783,9.7,63033092,18.8,2173546,33.3,47,4.1,2437,4.0
"02110","1","10","71","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,703,73968134,0,0,2024,105255,"",4.04,2.17,2.75,0.00,0.00,1.27,1.27,"",0,0.0,-6,-0.8,1787389,2.5,0,0.0,0,0.0,67,3.4,3496,3.4
"02110","1","102","72","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,703,73968134,0,0,2024,105255,"",4.05,2.21,2.80,0.00,0.00,1.27,1.27,"",0,0.0,-6,-0.8,1787389,2.5,0,0.0,0,0.0,67,3.4,3496,3.4
"02110","1","1021","73","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,69,5845956,0,0,1635,85032,"",1.36,0.91,1.24,0.00,0.00,1.37,1.37,"",0,0.0,3,4.5,292468,5.3,0,0.0,0,0.0,7,0.4,354,0.4
"02110","1","1024","73","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,272920,0,0,1749,90973,"",7.14,0.38,0.41,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,-4265,-1.5,0,0.0,0,0.0,-28,-1.6,-1422,-1.5
"02110","1","1026","73","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,7,663738,0,0,1915,99561,"",7.02,1.38,2.55,0.00,0.00,1.93,1.93,"",0,0.0,0,0.0,-13464,-2.0,0,0.0,0,0.0,139,7.8,7215,7.8
"02110","1","1027","73","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,1267242,0,0,2358,122636,"",64.92,18.35,42.13,0.00,0.00,2.22,2.22,"",0,0.0,1,11.1,198609,18.6,0,0.0,0,0.0,96,4.2,4988,4.2
"02110","1","1028","73","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,614,65918278,0,0,2065,107359,"",6.96,3.44,4.00,0.00,0.00,1.16,1.16,"",0,0.0,-10,-1.6,1314041,2.0,0,0.0,0,0.0,75,3.8,3882,3.8
"02110","1","48-49","74","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,69,5845956,0,0,1635,85032,"",1.40,0.99,1.33,0.00,0.00,1.35,1.35,"",0,0.0,3,4.5,292468,5.3,0,0.0,0,0.0,7,0.4,354,0.4
"02110","1","491","75","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,69,5845956,0,0,1635,85032,"",1.40,1.01,1.39,0.00,0.00,1.38,1.38,"",0,0.0,3,4.5,292468,5.3,0,0.0,0,0.0,7,0.4,354,0.4
"02110","1","4911","76","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,69,5845956,0,0,1635,85032,"",1.40,1.01,1.39,0.00,0.00,1.38,1.38,"",0,0.0,3,4.5,292468,5.3,0,0.0,0,0.0,7,0.4,354,0.4
"02110","1","49111","77","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,69,5845956,0,0,1635,85032,"",1.40,1.01,1.39,0.00,0.00,1.38,1.38,"",0,0.0,3,4.5,292468,5.3,0,0.0,0,0.0,7,0.4,354,0.4
"02110","1","491110","78","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,69,5845956,0,0,1635,85032,"",1.40,1.01,1.39,0.00,0.00,1.38,1.38,"",0,0.0,3,4.5,292468,5.3,0,0.0,0,0.0,7,0.4,354,0.4
"02110","1","54","74","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 54 Professional, scientific, and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,272920,0,0,1749,90973,"",7.96,0.39,0.41,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,-4265,-1.5,0,0.0,0,0.0,-28,-1.6,-1422,-1.5
"02110","1","541","75","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 541 Professional, scientific, and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,272920,0,0,1749,90973,"",7.96,0.39,0.41,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,-4265,-1.5,0,0.0,0,0.0,-28,-1.6,-1422,-1.5
"02110","1","5413","76","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 5413 Architectural, engineering, and related services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,272920,0,0,1749,90973,"",13.00,0.49,0.54,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-4265,-1.5,0,0.0,0,0.0,-28,-1.6,-1422,-1.5
"02110","1","54133","77","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,272920,0,0,1749,90973,"",13.07,0.52,0.57,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-4265,-1.5,0,0.0,0,0.0,-28,-1.6,-1422,-1.5
"02110","1","541330","78","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,272920,0,0,1749,90973,"",13.07,0.52,0.57,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,-4265,-1.5,0,0.0,0,0.0,-28,-1.6,-1422,-1.5
"02110","1","71","74","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,663738,0,0,1915,99561,"",9.57,1.65,2.82,0.00,0.00,1.79,1.79,"",0,0.0,0,0.0,-13464,-2.0,0,0.0,0,0.0,139,7.8,7215,7.8
"02110","1","712","75","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 712 Museums, historical sites, and similar institutions","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,663738,0,0,1915,99561,"",19.88,2.78,3.69,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-13464,-2.0,0,0.0,0,0.0,139,7.8,7215,7.8
"02110","1","7121","76","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 7121 Museums, historical sites, and similar institutions","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,663738,0,0,1915,99561,"",19.88,2.78,3.69,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-13464,-2.0,0,0.0,0,0.0,139,7.8,7215,7.8
"02110","1","71219","77","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,663738,0,0,1915,99561,"",22.64,3.89,5.60,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,-13464,-2.0,0,0.0,0,0.0,139,7.8,7215,7.8
"02110","1","712190","78","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,663738,0,0,1915,99561,"",22.64,3.89,5.60,0.00,0.00,1.51,1.51,"",0,0.0,0,0.0,-13464,-2.0,0,0.0,0,0.0,139,7.8,7215,7.8
"02110","1","81","74","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 81 Other services (except public administration)","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,1267242,0,0,2358,122636,"",64.92,18.35,42.13,0.00,0.00,2.22,2.22,"",0,0.0,1,11.1,198609,18.6,0,0.0,0,0.0,96,4.2,4988,4.2
"02110","1","813","75","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 813 Religious, grantmaking, civic, professional, and similar organizations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,1267242,0,0,2358,122636,"",301.69,32.42,98.08,0.00,0.00,2.93,2.93,"",0,0.0,1,11.1,198609,18.6,0,0.0,0,0.0,96,4.2,4988,4.2
"02110","1","8133","76","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 8133 Social advocacy organizations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,1267242,0,0,2358,122636,"",1465.37,213.09,571.31,0.00,0.00,2.60,2.60,"",0,0.0,1,11.1,198609,18.6,0,0.0,0,0.0,96,4.2,4988,4.2
"02110","1","81331","77","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 81331 Social advocacy organizations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,1267242,0,0,2358,122636,"",1465.37,213.09,571.31,0.00,0.00,2.60,2.60,"",0,0.0,1,11.1,198609,18.6,0,0.0,0,0.0,96,4.2,4988,4.2
"02110","1","813311","78","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 813311 Human rights organizations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,1267242,0,0,2358,122636,"",2051.52,585.65,1000.71,0.00,0.00,1.65,1.65,"",0,0.0,1,11.1,198609,18.6,0,0.0,0,0.0,96,4.2,4988,4.2
"02110","1","92","74","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",17,614,65918278,0,0,2065,107359,"",6.96,3.44,4.00,0.00,0.00,1.16,1.16,"",0,0.0,-10,-1.6,1314041,2.0,0,0.0,0,0.0,75,3.8,3882,3.8
"02110","1","921","75","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 921 Executive, legislative, and other general government support","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,504519,0,0,2197,114231,"",12.54,0.24,0.34,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,53868,12.0,0,0.0,0,0.0,158,7.7,8195,7.7
"02110","1","9211","76","0","2022","A","","Juneau City and Borough, Alaska","Federal Government","NAICS 9211 Executive, legislative, and other general government support","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,504519,0,0,2197,114231,"",12.54,0.24,0.34,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,53868,12.0,0,0.0,0,0.0,158,7.7,8195,7.7
