"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08123","0","10","70","0","2022","A","","Weld County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9152,111617,6935911085,1996719418,30794096,1195,62140,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",587,6.9,4642,4.3,745953502,12.1,381614333,23.6,5822669,23.3,82,7.4,4276,7.4
"08123","1","10","71","0","2022","A","","Weld County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",48,591,44295328,0,0,1442,74992,"",0.99,0.28,0.25,0.00,0.00,0.91,0.91,"",2,4.3,-10,-1.7,4936250,12.5,0,0.0,0,0.0,183,14.5,9548,14.6
"08123","1","102","72","0","2022","A","","Weld County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",48,591,44295328,0,0,1442,74992,"",0.99,0.28,0.26,0.00,0.00,0.91,0.91,"",2,4.3,-10,-1.7,4936250,12.5,0,0.0,0,0.0,183,14.5,9548,14.6
"08123","1","1021","73","0","2022","A","","Weld County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",32,345,21950062,0,0,1225,63700,"",1.33,0.69,0.72,0.00,0.00,1.03,1.03,"",-1,-3.0,-31,-8.2,1189192,5.7,0,0.0,0,0.0,162,15.2,8424,15.2
"08123","1","1028","73","0","2022","A","","Weld County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,246,22345266,0,0,1746,90804,"",0.80,0.21,0.21,0.00,0.00,0.99,0.99,"",3,23.1,20,8.8,3747058,20.1,0,0.0,0,0.0,162,10.2,8450,10.3
"08123","1","48-49","74","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",32,345,21950062,0,0,1225,63700,"",1.37,0.75,0.77,0.00,0.00,1.02,1.02,"",-1,-3.0,-31,-8.2,1189192,5.7,0,0.0,0,0.0,162,15.2,8424,15.2
"08123","1","491","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",32,345,21950062,0,0,1225,63700,"",1.38,0.77,0.80,0.00,0.00,1.04,1.04,"",-1,-3.0,-31,-8.2,1189192,5.7,0,0.0,0,0.0,162,15.2,8424,15.2
"08123","1","4911","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",32,345,21950062,0,0,1225,63700,"",1.38,0.77,0.80,0.00,0.00,1.04,1.04,"",-1,-3.0,-31,-8.2,1189192,5.7,0,0.0,0,0.0,162,15.2,8424,15.2
"08123","1","49111","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",32,345,21950062,0,0,1225,63700,"",1.38,0.77,0.80,0.00,0.00,1.04,1.04,"",-1,-3.0,-31,-8.2,1189192,5.7,0,0.0,0,0.0,162,15.2,8424,15.2
"08123","1","491110","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",32,345,21950062,0,0,1225,63700,"",1.38,0.77,0.80,0.00,0.00,1.04,1.04,"",-1,-3.0,-31,-8.2,1189192,5.7,0,0.0,0,0.0,162,15.2,8424,15.2
"08123","1","92","74","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,246,22345266,0,0,1746,90804,"",0.80,0.21,0.21,0.00,0.00,0.99,0.99,"",3,23.1,20,8.8,3747058,20.1,0,0.0,0,0.0,162,10.2,8450,10.3
"08123","1","921","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 921 Executive, legislative, and other general government support","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,134634,0,0,2589,134634,"",0.77,0.01,0.01,0.00,0.00,1.56,1.56,"",0,0.0,0,0.0,6070,4.7,0,0.0,0,0.0,117,4.7,6070,4.7
"08123","1","9211","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 9211 Executive, legislative, and other general government support","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,134634,0,0,2589,134634,"",0.77,0.01,0.01,0.00,0.00,1.56,1.56,"",0,0.0,0,0.0,6070,4.7,0,0.0,0,0.0,117,4.7,6070,4.7
"08123","1","92119","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,134634,0,0,2589,134634,"",1.17,0.04,0.06,0.00,0.00,1.42,1.42,"",0,0.0,0,0.0,6070,4.7,0,0.0,0,0.0,117,4.7,6070,4.7
"08123","1","921190","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,134634,0,0,2589,134634,"",1.17,0.04,0.06,0.00,0.00,1.42,1.42,"",0,0.0,0,0.0,6070,4.7,0,0.0,0,0.0,117,4.7,6070,4.7
"08123","1","922","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,130258,0,0,1582,82268,"",0.38,0.01,0.01,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,1233,1.0,0,0.0,0,0.0,164,11.6,8539,11.6
"08123","1","9221","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,130258,0,0,1582,82268,"",0.38,0.01,0.01,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,1233,1.0,0,0.0,0,0.0,164,11.6,8539,11.6
"08123","1","92219","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92219 Other justice, public order, and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,130258,0,0,1582,82268,"",2.21,0.09,0.06,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,1233,1.0,0,0.0,0,0.0,164,11.6,8539,11.6
"08123","1","922190","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 922190 Other justice, public order, and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,130258,0,0,1582,82268,"",2.21,0.09,0.06,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,1233,1.0,0,0.0,0,0.0,164,11.6,8539,11.6
"08123","1","923","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,1567011,0,0,1682,87461,"",0.48,0.11,0.10,0.00,0.00,0.92,0.92,"",0,0.0,-3,-14.3,-111117,-6.6,0,0.0,0,0.0,120,7.7,6261,7.7
"08123","1","9231","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,18,1567011,0,0,1682,87461,"",0.48,0.11,0.10,0.00,0.00,0.92,0.92,"",0,0.0,-3,-14.3,-111117,-6.6,0,0.0,0,0.0,120,7.7,6261,7.7
"08123","1","92313","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,1567011,0,0,1682,87461,"",0.86,0.36,0.37,0.00,0.00,1.02,1.02,"",0,0.0,-3,-14.3,-111117,-6.6,0,0.0,0,0.0,120,7.7,6261,7.7
"08123","1","923130","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 923130 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,18,1567011,0,0,1682,87461,"",0.86,0.36,0.37,0.00,0.00,1.02,1.02,"",0,0.0,-3,-14.3,-111117,-6.6,0,0.0,0,0.0,120,7.7,6261,7.7
"08123","1","924","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 924 Administration of environmental quality programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,48,3927560,0,0,1590,82685,"",1.21,0.67,0.65,0.00,0.00,0.98,0.98,"",1,25.0,12,33.3,1388862,54.7,0,0.0,0,0.0,246,18.3,12813,18.3
"08123","1","9241","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 9241 Administration of environmental quality programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,48,3927560,0,0,1590,82685,"",1.21,0.67,0.65,0.00,0.00,0.98,0.98,"",1,25.0,12,33.3,1388862,54.7,0,0.0,0,0.0,246,18.3,12813,18.3
"08123","1","92412","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,48,3927560,0,0,1590,82685,"",1.29,0.82,0.85,0.00,0.00,1.05,1.05,"",1,25.0,12,33.3,1388862,54.7,0,0.0,0,0.0,246,18.3,12813,18.3
"08123","1","924120","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,48,3927560,0,0,1590,82685,"",1.29,0.82,0.85,0.00,0.00,1.05,1.05,"",1,25.0,12,33.3,1388862,54.7,0,0.0,0,0.0,246,18.3,12813,18.3
"08123","1","926","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,107,9860899,0,0,1771,92086,"",0.78,0.60,0.59,0.00,0.00,0.98,0.98,"",2,50.0,9,9.2,2053515,26.3,0,0.0,0,0.0,232,15.1,12079,15.1
"08123","1","9261","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,107,9860899,0,0,1771,92086,"",0.78,0.60,0.59,0.00,0.00,0.98,0.98,"",2,50.0,9,9.2,2053515,26.3,0,0.0,0,0.0,232,15.1,12079,15.1
"08123","1","92611","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,7,622649,0,0,1752,91119,"",1.18,0.20,0.19,0.00,0.00,0.95,0.95,"",2,100.0,-2,-22.2,265409,74.3,0,0.0,0,0.0,967,123.2,50292,123.2
"08123","1","926110","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,7,622649,0,0,1752,91119,"",1.18,0.20,0.19,0.00,0.00,0.95,0.95,"",2,100.0,-2,-22.2,265409,74.3,0,0.0,0,0.0,967,123.2,50292,123.2
"08123","1","92614","77","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 92614 Regulation of agricultural marketing and commodities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,100,9238250,0,0,1772,92152,"",0.80,3.05,3.58,0.00,0.00,1.17,1.17,"",0,0.0,11,12.4,1788106,24.0,0,0.0,0,0.0,159,9.9,8285,9.9
"08123","1","926140","78","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 926140 Regulation of agricultural marketing and commodities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,100,9238250,0,0,1772,92152,"",0.80,3.05,3.58,0.00,0.00,1.17,1.17,"",0,0.0,11,12.4,1788106,24.0,0,0.0,0,0.0,159,9.9,8285,9.9
"08123","1","928","75","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,71,6724904,0,0,1821,94717,"",1.56,0.16,0.18,0.00,0.00,1.11,1.11,"",1,50.0,2,2.9,408495,6.5,0,0.0,0,0.0,48,2.7,2507,2.7
"08123","1","9281","76","0","2022","A","","Weld County, Colorado","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,71,6724904,0,0,1821,94717,"",1.56,0.16,0.18,0.00,0.00,1.11,1.11,"",1,50.0,2,2.9,408495,6.5,0,0.0,0,0.0,48,2.7,2507,2.7
