"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17001","0","10","70","0","2022","A","","Adams County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1733,31935,1635169751,333015383,6007104,985,51203,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,0.7,524,1.7,74968284,4.8,8643291,2.7,1057492,21.4,30,3.1,1532,3.1
"17001","1","10","71","0","2022","A","","Adams County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,231,15862381,0,0,1320,68644,"",2.62,0.38,0.38,0.00,0.00,1.01,1.01,"",0,0.0,-12,-4.9,646913,4.3,0,0.0,0,0.0,116,9.6,6050,9.7
"17001","1","102","72","0","2022","A","","Adams County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,231,15862381,0,0,1320,68644,"",2.63,0.39,0.39,0.00,0.00,1.01,1.01,"",0,0.0,-12,-4.9,646913,4.3,0,0.0,0,0.0,116,9.6,6050,9.7
"17001","1","1021","73","0","2022","A","","Adams County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,119,7922466,0,0,1278,66436,"",2.42,0.84,1.10,0.00,0.00,1.31,1.31,"",0,0.0,-9,-7.0,440926,5.9,0,0.0,0,0.0,157,14.0,8138,14.0
"17001","1","1023","73","0","2022","A","","Adams County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,76843,0,0,1478,76843,"",8.39,0.38,0.30,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,9672,14.4,0,0.0,0,0.0,186,14.4,9672,14.4
"17001","1","1024","73","0","2022","A","","Adams County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,16,1225567,0,0,1504,78228,"",4.63,1.09,1.20,0.00,0.00,1.12,1.12,"",0,0.0,0,0.0,53364,4.6,0,0.0,0,0.0,65,4.5,3407,4.6
"17001","1","1025","73","0","2022","A","","Adams County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,38,2992099,0,0,1528,79436,"",4.70,0.42,0.48,0.00,0.00,1.16,1.16,"",0,0.0,-4,-9.5,230,0.0,0,0.0,0,0.0,155,11.3,8059,11.3
"17001","1","1027","73","0","2022","A","","Adams County, Illinois","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,916942,0,0,1195,62166,"",42.07,14.62,19.83,0.00,0.00,1.38,1.38,"",0,0.0,1,7.1,70767,8.4,0,0.0,0,0.0,26,2.2,1363,2.2
"17001","1","1028","73","0","2022","A","","Adams County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,43,2728464,0,0,1227,63824,"",2.39,0.13,0.11,0.00,0.00,0.85,0.85,"",0,0.0,1,2.4,71954,2.7,0,0.0,0,0.0,18,1.5,948,1.5
"17001","1","48-49","74","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,119,7922466,0,0,1278,66436,"",2.49,0.91,1.18,0.00,0.00,1.29,1.29,"",0,0.0,-9,-7.0,440926,5.9,0,0.0,0,0.0,157,14.0,8138,14.0
"17001","1","491","75","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,119,7922466,0,0,1278,66436,"",2.50,0.93,1.23,0.00,0.00,1.32,1.32,"",0,0.0,-9,-7.0,440926,5.9,0,0.0,0,0.0,157,14.0,8138,14.0
"17001","1","4911","76","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,119,7922466,0,0,1278,66436,"",2.50,0.93,1.23,0.00,0.00,1.32,1.32,"",0,0.0,-9,-7.0,440926,5.9,0,0.0,0,0.0,157,14.0,8138,14.0
"17001","1","49111","77","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,119,7922466,0,0,1278,66436,"",2.50,0.93,1.23,0.00,0.00,1.32,1.32,"",0,0.0,-9,-7.0,440926,5.9,0,0.0,0,0.0,157,14.0,8138,14.0
"17001","1","491110","78","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,119,7922466,0,0,1278,66436,"",2.50,0.93,1.23,0.00,0.00,1.32,1.32,"",0,0.0,-9,-7.0,440926,5.9,0,0.0,0,0.0,157,14.0,8138,14.0
"17001","1","52","74","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,76843,0,0,1478,76843,"",8.47,0.38,0.30,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,9672,14.4,0,0.0,0,0.0,186,14.4,9672,14.4
"17001","1","522","75","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,76843,0,0,1478,76843,"",10.50,0.75,0.75,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,9672,14.4,0,0.0,0,0.0,186,14.4,9672,14.4
"17001","1","5222","76","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,76843,0,0,1478,76843,"",10.55,0.75,0.75,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,9672,14.4,0,0.0,0,0.0,186,14.4,9672,14.4
"17001","1","52229","77","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,76843,0,0,1478,76843,"",10.55,0.75,0.75,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,9672,14.4,0,0.0,0,0.0,186,14.4,9672,14.4
"17001","1","522292","78","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 522292 Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,76843,0,0,1478,76843,"",22.84,1.54,1.84,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,9672,14.4,0,0.0,0,0.0,186,14.4,9672,14.4
"17001","1","54","74","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 54 Professional, scientific, and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,1225567,0,0,1504,78228,"",5.16,1.12,1.21,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,53364,4.6,0,0.0,0,0.0,65,4.5,3407,4.6
"17001","1","541","75","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 541 Professional, scientific, and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,1225567,0,0,1504,78228,"",5.16,1.12,1.21,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,53364,4.6,0,0.0,0,0.0,65,4.5,3407,4.6
"17001","1","5413","76","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 5413 Architectural, engineering, and related services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,1225567,0,0,1504,78228,"",8.42,1.40,1.59,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,53364,4.6,0,0.0,0,0.0,65,4.5,3407,4.6
"17001","1","54133","77","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,1225567,0,0,1504,78228,"",8.47,1.47,1.67,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,53364,4.6,0,0.0,0,0.0,65,4.5,3407,4.6
"17001","1","541330","78","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,1225567,0,0,1504,78228,"",8.47,1.47,1.67,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,53364,4.6,0,0.0,0,0.0,65,4.5,3407,4.6
"17001","1","62","74","0","2022","A","","Adams County, Illinois","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,38,2992099,0,0,1528,79436,"",5.35,0.43,0.49,0.00,0.00,1.15,1.15,"",0,0.0,-4,-9.5,230,0.0,0,0.0,0,0.0,155,11.3,8059,11.3
