"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26077","0","10","70","0","2022","A","","Kalamazoo County, Michigan","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6153,119499,7388275579,1115895888,28890831,1189,61827,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",291,5.0,3601,3.1,440777651,6.3,53451308,5.0,1866487,6.9,36,3.1,1882,3.1
"26077","1","10","71","0","2022","A","","Kalamazoo County, Michigan","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,659,48053646,0,0,1403,72937,"",0.92,0.29,0.26,0.00,0.00,0.89,0.89,"",0,0.0,-28,-4.1,743501,1.6,0,0.0,0,0.0,79,6.0,4072,5.9
"26077","1","102","72","0","2022","A","","Kalamazoo County, Michigan","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,659,48053646,0,0,1403,72937,"",0.92,0.29,0.26,0.00,0.00,0.89,0.89,"",0,0.0,-28,-4.1,743501,1.6,0,0.0,0,0.0,79,6.0,4072,5.9
"26077","1","1021","73","0","2022","A","","Kalamazoo County, Michigan","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,495,36600818,0,0,1421,73879,"",1.11,0.93,1.12,0.00,0.00,1.20,1.20,"",0,0.0,-9,-1.8,1735279,5.0,0,0.0,0,0.0,91,6.8,4736,6.8
"26077","1","1027","73","0","2022","A","","Kalamazoo County, Michigan","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,1224239,0,0,1135,58999,"",11.85,5.47,5.86,0.00,0.00,1.08,1.08,"",0,0.0,-1,-4.5,-12384,-1.0,0,0.0,0,0.0,62,5.8,3211,5.8
"26077","1","1028","73","0","2022","A","","Kalamazoo County, Michigan","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,143,10228589,0,0,1379,71696,"",0.82,0.11,0.09,0.00,0.00,0.79,0.79,"",0,0.0,-18,-11.2,-979394,-8.7,0,0.0,0,0.0,37,2.8,1901,2.7
"26077","1","48-49","74","0","2022","A","","Kalamazoo County, Michigan","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,495,36600818,0,0,1421,73879,"",1.15,1.01,1.20,0.00,0.00,1.19,1.19,"",0,0.0,-9,-1.8,1735279,5.0,0,0.0,0,0.0,91,6.8,4736,6.8
"26077","1","488","75","0","2022","A","","Kalamazoo County, Michigan","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,75,8687390,0,0,2235,116219,"",13.28,8.21,7.20,0.00,0.00,0.88,0.88,"",0,0.0,-2,-2.6,839230,10.7,0,0.0,0,0.0,266,13.5,13852,13.5
"26077","1","4881","76","0","2022","A","","Kalamazoo County, Michigan","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,75,8687390,0,0,2235,116219,"",13.28,8.21,7.20,0.00,0.00,0.88,0.88,"",0,0.0,-2,-2.6,839230,10.7,0,0.0,0,0.0,266,13.5,13852,13.5
"26077","1","48811","77","0","2022","A","","Kalamazoo County, Michigan","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,75,8687390,0,0,2235,116219,"",13.28,8.21,7.20,0.00,0.00,0.88,0.88,"",0,0.0,-2,-2.6,839230,10.7,0,0.0,0,0.0,266,13.5,13852,13.5
