"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36069","0","10","70","0","2022","A","","Ontario County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3266,51148,2910518292,532202385,16950384,1094,56904,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",68,2.1,1290,2.6,202884842,7.5,24876948,4.9,-2768484,-14.0,50,4.8,2597,4.8
"36069","1","10","71","0","2022","A","","Ontario County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,1070,77003799,0,0,1384,71989,"",1.62,1.10,1.05,0.00,0.00,0.95,0.95,"",0,0.0,-33,-3.0,1319686,1.7,0,0.0,0,0.0,65,4.9,3388,4.9
"36069","1","102","72","0","2022","A","","Ontario County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,1070,77003799,0,0,1384,71989,"",1.63,1.12,1.06,0.00,0.00,0.95,0.95,"",0,0.0,-33,-3.0,1319686,1.7,0,0.0,0,0.0,65,4.9,3388,4.9
"36069","1","1021","73","0","2022","A","","Ontario County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,166,10325514,0,0,1199,62358,"",1.98,0.73,0.80,0.00,0.00,1.10,1.10,"",0,0.0,-13,-7.3,327015,3.3,0,0.0,0,0.0,122,11.3,6344,11.3
"36069","1","1023","73","0","2022","A","","Ontario County, New York","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,7,533267,0,0,1415,73554,"",8.91,1.64,1.18,0.00,0.00,0.69,0.69,"",0,0.0,0,0.0,19960,3.9,0,0.0,0,0.0,5,0.4,224,0.3
"36069","1","1024","73","0","2022","A","","Ontario County, New York","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,1067879,0,0,1476,76734,"",2.45,0.60,0.59,0.00,0.00,0.99,0.99,"",0,0.0,-1,-6.7,-145205,-12.0,0,0.0,0,0.0,-133,-8.3,-6927,-8.3
"36069","1","1025","73","0","2022","A","","Ontario County, New York","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,804,59139327,0,0,1415,73579,"",2.49,5.53,5.33,0.00,0.00,0.96,0.96,"",0,0.0,-16,-2.0,1088861,1.9,0,0.0,0,0.0,54,4.0,2807,4.0
"36069","1","1028","73","0","2022","A","","Ontario County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,79,5937812,0,0,1442,75004,"",0.99,0.15,0.13,0.00,0.00,0.90,0.90,"",0,0.0,-4,-4.8,29055,0.5,0,0.0,0,0.0,73,5.3,3814,5.4
"36069","1","48-49","74","0","2022","A","","Ontario County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,166,10325514,0,0,1199,62358,"",2.04,0.79,0.86,0.00,0.00,1.09,1.09,"",0,0.0,-13,-7.3,327015,3.3,0,0.0,0,0.0,122,11.3,6344,11.3
"36069","1","491","75","0","2022","A","","Ontario County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,166,10325514,0,0,1199,62358,"",2.05,0.81,0.90,0.00,0.00,1.11,1.11,"",0,0.0,-13,-7.3,327015,3.3,0,0.0,0,0.0,122,11.3,6344,11.3
