"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39165","0","10","70","0","2022","A","","Warren County, Ohio","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6093,99419,6282509291,976053245,23597076,1215,63192,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",348,6.1,3159,3.3,263445760,4.4,38289302,4.1,1310101,5.9,13,1.1,663,1.1
"39165","1","10","71","0","2022","A","","Warren County, Ohio","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,303,21131057,0,0,1340,69663,"",0.71,0.16,0.13,0.00,0.00,0.83,0.83,"",5,27.8,-8,-2.6,1542884,7.9,0,0.0,0,0.0,129,10.7,6712,10.7
"39165","1","102","72","0","2022","A","","Warren County, Ohio","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,303,21131057,0,0,1340,69663,"",0.72,0.16,0.14,0.00,0.00,0.83,0.83,"",5,27.8,-8,-2.6,1542884,7.9,0,0.0,0,0.0,129,10.7,6712,10.7
"39165","1","1021","73","0","2022","A","","Warren County, Ohio","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,240,16623164,0,0,1334,69360,"",0.69,0.54,0.60,0.00,0.00,1.11,1.11,"",0,0.0,-9,-3.6,1005562,6.4,0,0.0,0,0.0,127,10.5,6597,10.5
"39165","1","1024","73","0","2022","A","","Warren County, Ohio","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,1062491,0,0,1347,70054,"",1.32,0.33,0.27,0.00,0.00,0.81,0.81,"",0,0.0,2,15.4,142567,15.5,0,0.0,0,0.0,20,1.5,1060,1.5
"39165","1","1028","73","0","2022","A","","Warren County, Ohio","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,49,3445402,0,0,1366,71039,"",0.83,0.05,0.04,0.00,0.00,0.76,0.76,"",5,83.3,0,0.0,394755,12.9,0,0.0,0,0.0,169,14.1,8781,14.1
"39165","1","48-49","74","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,240,16623164,0,0,1334,69360,"",0.71,0.59,0.64,0.00,0.00,1.09,1.09,"",0,0.0,-9,-3.6,1005562,6.4,0,0.0,0,0.0,127,10.5,6597,10.5
"39165","1","491","75","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,240,16623164,0,0,1334,69360,"",0.71,0.60,0.67,0.00,0.00,1.12,1.11,"",0,0.0,-9,-3.6,1005562,6.4,0,0.0,0,0.0,127,10.5,6597,10.5
"39165","1","4911","76","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,240,16623164,0,0,1334,69360,"",0.71,0.60,0.67,0.00,0.00,1.12,1.11,"",0,0.0,-9,-3.6,1005562,6.4,0,0.0,0,0.0,127,10.5,6597,10.5
"39165","1","49111","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,240,16623164,0,0,1334,69360,"",0.71,0.60,0.67,0.00,0.00,1.12,1.11,"",0,0.0,-9,-3.6,1005562,6.4,0,0.0,0,0.0,127,10.5,6597,10.5
"39165","1","491110","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,240,16623164,0,0,1334,69360,"",0.71,0.60,0.67,0.00,0.00,1.12,1.11,"",0,0.0,-9,-3.6,1005562,6.4,0,0.0,0,0.0,127,10.5,6597,10.5
"39165","1","54","74","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 54 Professional, scientific, and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,1062491,0,0,1347,70054,"",1.47,0.34,0.27,0.00,0.00,0.80,0.80,"",0,0.0,2,15.4,142567,15.5,0,0.0,0,0.0,20,1.5,1060,1.5
"39165","1","541","75","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 541 Professional, scientific, and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,1062491,0,0,1347,70054,"",1.47,0.34,0.27,0.00,0.00,0.80,0.80,"",0,0.0,2,15.4,142567,15.5,0,0.0,0,0.0,20,1.5,1060,1.5
"39165","1","5413","76","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 5413 Architectural, engineering, and related services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,1062491,0,0,1347,70054,"",2.40,0.42,0.36,0.00,0.00,0.84,0.84,"",0,0.0,2,15.4,142567,15.5,0,0.0,0,0.0,20,1.5,1060,1.5
"39165","1","54133","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,1062491,0,0,1347,70054,"",2.41,0.44,0.38,0.00,0.00,0.84,0.84,"",0,0.0,2,15.4,142567,15.5,0,0.0,0,0.0,20,1.5,1060,1.5
"39165","1","541330","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 541330 Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,1062491,0,0,1347,70054,"",2.41,0.44,0.38,0.00,0.00,0.84,0.84,"",0,0.0,2,15.4,142567,15.5,0,0.0,0,0.0,20,1.5,1060,1.5
"39165","1","92","74","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,49,3445402,0,0,1366,71039,"",0.83,0.05,0.04,0.00,0.00,0.76,0.76,"",5,83.3,0,0.0,394755,12.9,0,0.0,0,0.0,169,14.1,8781,14.1
"39165","1","921","75","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 921 Executive, legislative, and other general government support","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,379553,0,0,2503,130132,"",1.16,0.03,0.04,0.00,0.00,1.48,1.48,"",1,100.0,3,100.0,379553,100.0,0,0.0,0,0.0,2503,100.0,130132,100.0
"39165","1","9211","76","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 9211 Executive, legislative, and other general government support","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,379553,0,0,2503,130132,"",1.16,0.03,0.04,0.00,0.00,1.48,1.48,"",1,100.0,3,100.0,379553,100.0,0,0.0,0,0.0,2503,100.0,130132,100.0
"39165","1","92119","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,379553,0,0,2503,130132,"",1.76,0.14,0.18,0.00,0.00,1.35,1.35,"",1,100.0,3,100.0,379553,100.0,0,0.0,0,0.0,2503,100.0,130132,100.0
"39165","1","921190","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,379553,0,0,2503,130132,"",1.76,0.14,0.18,0.00,0.00,1.35,1.35,"",1,100.0,3,100.0,379553,100.0,0,0.0,0,0.0,2503,100.0,130132,100.0
"39165","1","923","75","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,873021,0,0,1599,83145,"",0.73,0.08,0.06,0.00,0.00,0.86,0.86,"",0,0.0,-6,-35.3,-315402,-26.5,0,0.0,0,0.0,214,15.5,11119,15.4
"39165","1","9231","76","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,873021,0,0,1599,83145,"",0.73,0.08,0.06,0.00,0.00,0.86,0.86,"",0,0.0,-6,-35.3,-315402,-26.5,0,0.0,0,0.0,214,15.5,11119,15.4
"39165","1","92312","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 92312 Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",0,3,289367,0,0,2226,115747,"",0.00,0.07,0.06,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39165","1","923120","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 923120 Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",0,3,289367,0,0,2226,115747,"",0.00,0.07,0.06,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39165","1","92313","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,583654,0,0,1403,72957,"",1.29,0.18,0.15,0.00,0.00,0.84,0.84,"",0,0.0,-9,-52.9,-604769,-50.9,0,0.0,0,0.0,18,1.3,931,1.3
"39165","1","923130","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 923130 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,583654,0,0,1403,72957,"",1.29,0.18,0.15,0.00,0.00,0.84,0.84,"",0,0.0,-9,-52.9,-604769,-50.9,0,0.0,0,0.0,18,1.3,931,1.3
"39165","1","924","75","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 924 Administration of environmental quality programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,156365,0,0,1504,78183,"",0.36,0.03,0.03,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,14600,10.3,0,0.0,0,0.0,141,10.3,7300,10.3
"39165","1","9241","76","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 9241 Administration of environmental quality programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,156365,0,0,1504,78183,"",0.36,0.03,0.03,0.00,0.00,0.91,0.91,"",0,0.0,0,0.0,14600,10.3,0,0.0,0,0.0,141,10.3,7300,10.3
"39165","1","92412","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,156365,0,0,1504,78183,"",0.39,0.04,0.04,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,14600,10.3,0,0.0,0,0.0,141,10.3,7300,10.3
"39165","1","924120","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,156365,0,0,1504,78183,"",0.39,0.04,0.04,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,14600,10.3,0,0.0,0,0.0,141,10.3,7300,10.3
"39165","1","926","75","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,14,715620,0,0,1019,53009,"",1.37,0.09,0.05,0.00,0.00,0.55,0.55,"",4,133.3,2,16.7,262246,57.8,0,0.0,0,0.0,266,35.3,13869,35.4
"39165","1","9261","76","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,14,715620,0,0,1019,53009,"",1.37,0.09,0.05,0.00,0.00,0.55,0.55,"",4,133.3,2,16.7,262246,57.8,0,0.0,0,0.0,266,35.3,13869,35.4
"39165","1","92611","77","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,8,504561,0,0,1188,61783,"",2.66,0.26,0.17,0.00,0.00,0.63,0.63,"",4,200.0,2,33.3,250805,98.8,0,0.0,0,0.0,427,56.1,22237,56.2
"39165","1","926110","78","0","2022","A","","Warren County, Ohio","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,8,504561,0,0,1188,61783,"",2.66,0.26,0.17,0.00,0.00,0.63,0.63,"",4,200.0,2,33.3,250805,98.8,0,0.0,0,0.0,427,56.1,22237,56.2
