"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48041","0","10","70","0","2022","A","","Brazos County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",5177,117069,5959736199,796931119,13979975,979,50908,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",135,2.7,8539,7.9,711006066,13.5,88890451,12.6,1799399,14.8,49,5.3,2546,5.3
"48041","1","10","71","0","2022","A","","Brazos County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,756,60421468,0,0,1538,79967,"",0.99,0.34,0.40,0.00,0.00,1.19,1.19,"",0,0.0,-40,-5.0,-710672,-1.2,0,0.0,0,0.0,61,4.1,3160,4.1
"48041","1","102","72","0","2022","A","","Brazos County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,756,60421468,0,0,1538,79967,"",0.99,0.34,0.41,0.00,0.00,1.19,1.18,"",0,0.0,-40,-5.0,-710672,-1.2,0,0.0,0,0.0,61,4.1,3160,4.1
"48041","1","1021","73","0","2022","A","","Brazos County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,245,17908812,0,0,1408,73222,"",0.44,0.47,0.68,0.00,0.00,1.45,1.45,"",0,0.0,-5,-2.0,797094,4.7,0,0.0,0,0.0,93,7.1,4866,7.1
"48041","1","1022","73","0","2022","A","","Brazos County, Texas","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",1,28,2621985,0,0,1774,92269,"",15.35,5.53,7.97,0.00,0.00,1.42,1.42,"",0,0.0,-2,-6.7,-37426,-1.4,0,0.0,0,0.0,45,2.6,2373,2.6
"48041","1","1023","73","0","2022","A","","Brazos County, Texas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,158438,0,0,2151,111839,"",2.81,0.10,0.17,0.00,0.00,1.18,1.18,"",0,0.0,-1,-50.0,-4947,-3.0,0,0.0,0,0.0,437,25.5,22720,25.5
"48041","1","1025","73","0","2022","A","","Brazos County, Texas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,28,2871183,0,0,1966,102238,"",1.57,0.08,0.13,0.00,0.00,1.50,1.50,"",0,0.0,-2,-6.7,129638,4.7,0,0.0,0,0.0,199,11.3,10343,11.3
"48041","1","1026","73","0","2022","A","","Brazos County, Texas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,2,233535,0,0,2246,116768,"",1.52,0.06,0.16,0.00,0.00,2.79,2.79,"",0,0.0,0,0.0,10229,4.6,0,0.0,0,0.0,99,4.6,5115,4.6
"48041","1","1028","73","0","2022","A","","Brazos County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,451,36627515,0,0,1562,81199,"",1.51,0.37,0.40,0.00,0.00,1.08,1.08,"",0,0.0,-31,-6.4,-1605260,-4.2,0,0.0,0,0.0,38,2.5,1933,2.4
"48041","1","48-49","74","0","2022","A","","Brazos County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,245,17908812,0,0,1408,73222,"",0.45,0.51,0.73,0.00,0.00,1.43,1.43,"",0,0.0,-5,-2.0,797094,4.7,0,0.0,0,0.0,93,7.1,4866,7.1
