"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48423","0","10","70","0","2022","A","","Smith County, Texas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6768,108384,5925722076,1029331003,16408222,1051,54673,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",142,2.1,3609,3.4,497834532,9.2,71032969,7.4,1256775,8.3,55,5.5,2868,5.5
"48423","1","10","71","0","2022","A","","Smith County, Texas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,705,57941184,0,0,1581,82206,"",0.84,0.34,0.39,0.00,0.00,1.13,1.13,"",0,0.0,38,5.7,4480523,8.4,0,0.0,0,0.0,38,2.5,1995,2.5
"48423","1","102","72","0","2022","A","","Smith County, Texas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,705,57941184,0,0,1581,82206,"",0.84,0.35,0.39,0.00,0.00,1.13,1.13,"",0,0.0,38,5.7,4480523,8.4,0,0.0,0,0.0,38,2.5,1995,2.5
"48423","1","1021","73","0","2022","A","","Smith County, Texas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,328,23175545,0,0,1358,70621,"",0.51,0.68,0.89,0.00,0.00,1.30,1.30,"",0,0.0,1,0.3,1874748,8.8,0,0.0,0,0.0,107,8.6,5564,8.6
"48423","1","1025","73","0","2022","A","","Smith County, Texas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,90,7298968,0,0,1565,81401,"",1.20,0.29,0.32,0.00,0.00,1.11,1.11,"",0,0.0,31,52.5,2295015,45.9,0,0.0,0,0.0,-68,-4.2,-3532,-4.2
"48423","1","1028","73","0","2022","A","","Smith County, Texas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,287,27466671,0,0,1840,95703,"",1.36,0.25,0.30,0.00,0.00,1.19,1.19,"",0,0.0,7,2.5,310760,1.1,0,0.0,0,0.0,-24,-1.3,-1225,-1.3
"48423","1","48-49","74","0","2022","A","","Smith County, Texas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,328,23175545,0,0,1358,70621,"",0.52,0.74,0.95,0.00,0.00,1.29,1.29,"",0,0.0,1,0.3,1874748,8.8,0,0.0,0,0.0,107,8.6,5564,8.6
"48423","1","491","75","0","2022","A","","Smith County, Texas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,328,23175545,0,0,1358,70621,"",0.52,0.75,0.99,0.00,0.00,1.31,1.31,"",0,0.0,1,0.3,1874748,8.8,0,0.0,0,0.0,107,8.6,5564,8.6
"48423","1","4911","76","0","2022","A","","Smith County, Texas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,328,23175545,0,0,1358,70621,"",0.52,0.75,0.99,0.00,0.00,1.31,1.31,"",0,0.0,1,0.3,1874748,8.8,0,0.0,0,0.0,107,8.6,5564,8.6
"48423","1","49111","77","0","2022","A","","Smith County, Texas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,328,23175545,0,0,1358,70621,"",0.52,0.75,0.99,0.00,0.00,1.31,1.31,"",0,0.0,1,0.3,1874748,8.8,0,0.0,0,0.0,107,8.6,5564,8.6
"48423","1","491110","78","0","2022","A","","Smith County, Texas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,328,23175545,0,0,1358,70621,"",0.52,0.75,0.99,0.00,0.00,1.31,1.31,"",0,0.0,1,0.3,1874748,8.8,0,0.0,0,0.0,107,8.6,5564,8.6
"48423","1","62","74","0","2022","A","","Smith County, Texas","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,90,7298968,0,0,1565,81401,"",1.37,0.30,0.33,0.00,0.00,1.11,1.11,"",0,0.0,31,52.5,2295015,45.9,0,0.0,0,0.0,-68,-4.2,-3532,-4.2
"48423","1","621","75","0","2022","A","","Smith County, Texas","Federal Government","NAICS 621 Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,90,7298968,0,0,1565,81401,"",3.58,3.10,3.40,0.00,0.00,1.10,1.10,"",0,0.0,31,52.5,2295015,45.9,0,0.0,0,0.0,-68,-4.2,-3532,-4.2
