"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49035","0","10","70","0","2022","A","","Salt Lake County, Utah","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",62715,771216,54339959789,23840570678,170709634,1355,70460,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6770,12.1,33541,4.5,5438120078,11.1,2838717556,13.5,61213861,55.9,80,6.3,4168,6.3
"49035","1","10","71","0","2022","A","","Salt Lake County, Utah","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",139,11154,984175461,0,0,1697,88234,"",0.42,0.76,0.72,0.00,0.00,0.94,0.94,"",1,0.7,-290,-2.5,35304731,3.7,0,0.0,0,0.0,102,6.4,5320,6.4
"49035","1","102","72","0","2022","A","","Salt Lake County, Utah","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",139,11154,984175461,0,0,1697,88234,"",0.42,0.77,0.73,0.00,0.00,0.94,0.94,"",1,0.7,-290,-2.5,35304731,3.7,0,0.0,0,0.0,102,6.4,5320,6.4
"49035","1","1021","73","0","2022","A","","Salt Lake County, Utah","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",27,3286,255075733,0,0,1493,77621,"",0.16,0.96,1.06,0.00,0.00,1.11,1.11,"",-1,-3.6,-194,-5.6,4825766,1.9,0,0.0,0,0.0,110,8.0,5705,7.9
"49035","1","1023","73","0","2022","A","","Salt Lake County, Utah","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",5,104,11970660,0,0,2210,114918,"",1.16,1.62,1.42,0.00,0.00,0.87,0.87,"",1,25.0,-8,-7.1,-307882,-2.5,0,0.0,0,0.0,100,4.7,5207,4.7
"49035","1","1024","73","0","2022","A","","Salt Lake County, Utah","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,104,11479063,0,0,2114,109935,"",0.38,0.29,0.34,0.00,0.00,1.15,1.15,"",0,0.0,6,6.1,856778,8.1,0,0.0,0,0.0,31,1.5,1636,1.5
"49035","1","1025","73","0","2022","A","","Salt Lake County, Utah","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,2975,286472358,0,0,1852,96285,"",0.91,1.36,1.38,0.00,0.00,1.02,1.02,"",0,0.0,-12,-0.4,18663811,7.0,0,0.0,0,0.0,128,7.4,6619,7.4
"49035","1","1026","73","0","2022","A","","Salt Lake County, Utah","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,11,1042471,0,0,1809,94058,"",0.25,0.05,0.08,0.00,0.00,1.62,1.62,"",0,0.0,3,37.5,340232,48.4,0,0.0,0,0.0,85,4.9,4410,4.9
"49035","1","1028","73","0","2022","A","","Salt Lake County, Utah","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",95,4673,418135176,0,0,1721,89477,"",0.70,0.58,0.50,0.00,0.00,0.86,0.86,"",2,2.2,-87,-1.8,10926026,2.7,0,0.0,0,0.0,76,4.6,3923,4.6
"49035","1","48-49","74","0","2022","A","","Salt Lake County, Utah","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,3286,255075733,0,0,1493,77621,"",0.17,1.04,1.14,0.00,0.00,1.10,1.10,"",-1,-3.6,-194,-5.6,4825766,1.9,0,0.0,0,0.0,110,8.0,5705,7.9
"49035","1","488","75","0","2022","A","","Salt Lake County, Utah","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,303,48339743,0,0,3066,159449,"",1.30,5.14,5.45,0.00,0.00,1.06,1.06,"",0,0.0,1,0.3,-276667,-0.6,0,0.0,0,0.0,-31,-1.0,-1577,-1.0
"49035","1","4881","76","0","2022","A","","Salt Lake County, Utah","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,303,48339743,0,0,3066,159449,"",1.30,5.14,5.45,0.00,0.00,1.06,1.06,"",0,0.0,1,0.3,-276667,-0.6,0,0.0,0,0.0,-31,-1.0,-1577,-1.0
"49035","1","48811","77","0","2022","A","","Salt Lake County, Utah","Federal Government","NAICS 48811 Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,303,48339743,0,0,3066,159449,"",1.30,5.14,5.45,0.00,0.00,1.06,1.06,"",0,0.0,1,0.3,-276667,-0.6,0,0.0,0,0.0,-31,-1.0,-1577,-1.0
"49035","1","488111","78","0","2022","A","","Salt Lake County, Utah","Federal Government","NAICS 488111 Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,303,48339743,0,0,3066,159449,"",1.31,5.15,5.45,0.00,0.00,1.06,1.06,"",0,0.0,1,0.3,-276667,-0.6,0,0.0,0,0.0,-31,-1.0,-1577,-1.0
