"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55139","0","10","70","0","2022","A","","Winnebago County, Wisconsin","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4042,92071,5472200910,1157034060,12894423,1143,59435,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",61,1.5,1572,1.7,251818466,4.8,34343672,3.1,-1975464,-13.3,34,3.1,1751,3.0
"55139","1","10","71","0","2022","A","","Winnebago County, Wisconsin","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,387,26848407,0,0,1334,69346,"",0.70,0.22,0.19,0.00,0.00,0.88,0.88,"",-1,-6.2,-10,-2.5,926622,3.6,0,0.0,0,0.0,78,6.2,4052,6.2
"55139","1","102","72","0","2022","A","","Winnebago County, Wisconsin","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,387,26848407,0,0,1334,69346,"",0.70,0.22,0.20,0.00,0.00,0.88,0.88,"",-1,-6.2,-10,-2.5,926622,3.6,0,0.0,0,0.0,78,6.2,4052,6.2
"55139","1","1021","73","0","2022","A","","Winnebago County, Wisconsin","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,313,21359491,0,0,1312,68205,"",0.85,0.76,0.88,0.00,0.00,1.16,1.16,"",0,0.0,-7,-2.2,981188,4.8,0,0.0,0,0.0,88,7.2,4573,7.2
"55139","1","1028","73","0","2022","A","","Winnebago County, Wisconsin","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,74,5488916,0,0,1426,74175,"",0.68,0.08,0.06,0.00,0.00,0.85,0.85,"",-1,-14.3,-3,-3.9,-54566,-1.0,0,0.0,0,0.0,37,2.7,1947,2.7
"55139","1","48-49","74","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,313,21359491,0,0,1312,68205,"",0.87,0.83,0.95,0.00,0.00,1.14,1.14,"",0,0.0,-7,-2.2,981188,4.8,0,0.0,0,0.0,88,7.2,4573,7.2
"55139","1","491","75","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,313,21359491,0,0,1312,68205,"",0.88,0.85,0.99,0.00,0.00,1.17,1.17,"",0,0.0,-7,-2.2,981188,4.8,0,0.0,0,0.0,88,7.2,4573,7.2
"55139","1","4911","76","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,313,21359491,0,0,1312,68205,"",0.88,0.85,0.99,0.00,0.00,1.17,1.17,"",0,0.0,-7,-2.2,981188,4.8,0,0.0,0,0.0,88,7.2,4573,7.2
"55139","1","49111","77","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,313,21359491,0,0,1312,68205,"",0.88,0.85,0.99,0.00,0.00,1.17,1.17,"",0,0.0,-7,-2.2,981188,4.8,0,0.0,0,0.0,88,7.2,4573,7.2
"55139","1","491110","78","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,313,21359491,0,0,1312,68205,"",0.88,0.85,0.99,0.00,0.00,1.17,1.17,"",0,0.0,-7,-2.2,981188,4.8,0,0.0,0,0.0,88,7.2,4573,7.2
"55139","1","92","74","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,74,5488916,0,0,1426,74175,"",0.68,0.08,0.06,0.00,0.00,0.85,0.85,"",-1,-14.3,-3,-3.9,-54566,-1.0,0,0.0,0,0.0,37,2.7,1947,2.7
"55139","1","923","75","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 923 Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,1209622,0,0,1702,88509,"",1.09,0.11,0.10,0.00,0.00,0.98,0.98,"",0,0.0,1,7.7,98253,8.8,0,0.0,0,0.0,58,3.5,3019,3.5
"55139","1","9231","76","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 9231 Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,1209622,0,0,1702,88509,"",1.09,0.11,0.10,0.00,0.00,0.98,0.98,"",0,0.0,1,7.7,98253,8.8,0,0.0,0,0.0,58,3.5,3019,3.5
"55139","1","92313","77","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 92313 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,1209622,0,0,1702,88509,"",1.95,0.34,0.36,0.00,0.00,1.08,1.08,"",0,0.0,1,7.7,98253,8.8,0,0.0,0,0.0,58,3.5,3019,3.5
"55139","1","923130","78","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 923130 Administration of human resource programs (except education, public health, and veterans' affairs programs)","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,1209622,0,0,1702,88509,"",1.95,0.34,0.36,0.00,0.00,1.08,1.08,"",0,0.0,1,7.7,98253,8.8,0,0.0,0,0.0,58,3.5,3019,3.5
"55139","1","924","75","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 924 Administration of environmental quality programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,177634,0,0,1281,66613,"",0.55,0.05,0.04,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,-13872,-7.2,0,0.0,0,0.0,53,4.3,2778,4.4
"55139","1","9241","76","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 9241 Administration of environmental quality programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,177634,0,0,1281,66613,"",0.55,0.05,0.04,0.00,0.00,0.82,0.82,"",0,0.0,0,0.0,-13872,-7.2,0,0.0,0,0.0,53,4.3,2778,4.4
"55139","1","92412","77","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,177634,0,0,1281,66613,"",0.58,0.06,0.05,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,-13872,-7.2,0,0.0,0,0.0,53,4.3,2778,4.4
"55139","1","924120","78","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,177634,0,0,1281,66613,"",0.58,0.06,0.05,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,-13872,-7.2,0,0.0,0,0.0,53,4.3,2778,4.4
"55139","1","926","75","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,16,1005015,0,0,1177,61219,"",0.89,0.11,0.08,0.00,0.00,0.68,0.68,"",-1,-25.0,-1,-5.9,35712,3.7,0,0.0,0,0.0,75,6.8,3920,6.8
"55139","1","9261","76","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,16,1005015,0,0,1177,61219,"",0.89,0.11,0.08,0.00,0.00,0.68,0.68,"",-1,-25.0,-1,-5.9,35712,3.7,0,0.0,0,0.0,75,6.8,3920,6.8
"55139","1","92611","77","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,124846,0,0,779,40491,"",0.67,0.10,0.05,0.00,0.00,0.44,0.44,"",-1,-50.0,-1,-25.0,-1470,-1.2,0,0.0,0,0.0,101,14.9,5240,14.9
"55139","1","926110","78","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,124846,0,0,779,40491,"",0.67,0.10,0.05,0.00,0.00,0.44,0.44,"",-1,-50.0,-1,-25.0,-1470,-1.2,0,0.0,0,0.0,101,14.9,5240,14.9
"55139","1","92614","77","0","2022","A","","Winnebago County, Wisconsin","Federal Government","NAICS 92614 Regulation of agricultural marketing and commodities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,880169,0,0,1269,66013,"",1.82,0.48,0.43,0.00,0.00,0.87,0.87,"",0,0.0,0,0.0,37182,4.4,0,0.0,0,0.0,53,4.4,2789,4.4
