"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C1594","0","10","40","0","2022","A","","Canton-Massillon, OH MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",9717,160516,8080417924,1400302681,33491735,968,50340,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",251,2.7,2162,1.4,518837303,6.9,36742257,2.7,-807772,-2.4,50,5.4,2589,5.4
"C1594","1","10","41","0","2022","A","","Canton-Massillon, OH MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",52,973,73425587,0,0,1452,75489,"",1.01,0.32,0.36,0.00,0.00,1.13,1.13,"",0,0.0,-8,-0.8,3738267,5.4,0,0.0,0,0.0,86,6.3,4446,6.3
"C1594","2","10","41","0","2022","A","","Canton-Massillon, OH MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",23,1227,90366342,0,0,1416,73643,"",0.38,0.25,0.36,0.00,0.00,1.41,1.41,"",1,4.5,-38,-3.0,4677940,5.5,0,0.0,0,0.0,113,8.7,5892,8.7
"C1594","3","10","41","0","2022","A","","Canton-Massillon, OH MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",304,16651,817151203,1112416,20806,944,49076,"",2.10,1.12,1.25,0.06,0.12,1.12,1.12,"",0,0.0,-8,0.0,33916020,4.3,63221,6.0,-261,-1.2,40,4.4,2060,4.4
"C1594","5","10","41","0","2022","A","","Canton-Massillon, OH MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",9338,141665,7099474792,1399190265,33470929,964,50114,"",0.99,1.03,1.02,1.02,1.00,0.99,0.99,"",250,2.8,2216,1.6,476505076,7.2,36679036,2.7,-807511,-2.4,51,5.6,2620,5.5
"C1594","5","101","42","0","2022","A","","Canton-Massillon, OH MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1569,33417,2196688487,381171171,14187837,1264,65736,"",1.30,1.40,1.68,1.36,1.68,1.20,1.20,"",15,1.0,253,0.8,129208191,6.2,4269280,1.1,-652906,-4.4,65,5.4,3395,5.4
"C1594","5","1011","43","0","2022","A","","Canton-Massillon, OH MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",84,600,36310917,7289601,296301,1164,60518,"",0.69,0.31,0.39,0.30,0.37,1.27,1.27,"",-1,-1.2,-36,-5.7,2212394,6.5,-469548,-6.1,-54984,-15.7,134,13.0,6932,12.9
"C1594","5","1012","43","0","2022","A","","Canton-Massillon, OH MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",906,7648,516970808,97132053,6242885,1300,67593,"",1.19,0.93,1.19,0.94,1.55,1.28,1.28,"",11,1.2,134,1.8,34630623,7.2,2577237,2.7,13366,0.2,66,5.3,3402,5.3
"C1594","5","1013","43","0","2022","A","","Canton-Massillon, OH MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",579,25169,1643406762,276749517,7648651,1256,65296,"",1.80,1.84,2.11,1.82,2.12,1.14,1.14,"",5,0.9,156,0.6,92365174,6.0,2161591,0.8,-611288,-7.4,64,5.4,3288,5.3
"C1594","5","102","42","0","2022","A","","Canton-Massillon, OH MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",7769,108249,4902786305,1018019094,19283092,871,45292,"",0.94,0.95,0.87,0.93,0.77,0.91,0.91,"",235,3.1,1964,1.8,347296885,7.6,32409756,3.3,-154605,-0.8,47,5.7,2431,5.7
