"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3070","0","10","40","0","2022","A","","Lincoln, NE MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",11058,175499,9622298162,1483993069,10574605,1054,54828,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",149,1.4,2694,1.6,567569194,6.3,54978870,3.8,913084,9.5,46,4.6,2429,4.6
"C3070","1","10","41","0","2022","A","","Lincoln, NE MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",64,3235,266786811,0,0,1586,82475,"",1.10,0.97,1.10,0.00,0.00,1.14,1.13,"",-1,-1.5,-108,-3.2,7950147,3.1,0,0.0,0,0.0,97,6.5,5043,6.5
"C3070","2","10","41","0","2022","A","","Lincoln, NE MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",101,16002,1045160387,131240,338,1256,65315,"",1.48,3.01,3.45,0.02,0.06,1.15,1.15,"",-63,-38.4,174,1.1,88820705,9.3,-14092,-9.7,41,13.8,94,8.1,4894,8.1
"C3070","3","10","41","0","2022","A","","Lincoln, NE MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",68,14877,765156589,6172833,18617,989,51431,"",0.41,0.91,0.98,0.31,0.35,1.08,1.08,"",-2,-2.9,160,1.1,30177917,4.1,-139443,-2.2,-2714,-12.7,29,3.0,1489,3.0
"C3070","5","10","41","0","2022","A","","Lincoln, NE MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",10826,141385,7545194375,1477688996,10555650,1026,53366,"",1.01,0.94,0.91,1.01,1.00,0.97,0.97,"",216,2.0,2467,1.8,440620425,6.2,55132405,3.9,915757,9.5,42,4.3,2224,4.3
"C3070","5","101","42","0","2022","A","","Lincoln, NE MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1602,25894,1617513493,319541576,3337636,1201,62468,"",1.17,0.99,1.04,1.08,1.25,1.04,1.04,"",25,1.6,1624,6.7,144959067,9.8,22016367,7.4,187291,5.9,34,2.9,1793,3.0
"C3070","5","1011","43","0","2022","A","","Lincoln, NE MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",93,631,25483837,8155857,54999,777,40402,"",0.68,0.30,0.23,0.32,0.22,0.78,0.78,"",0,0.0,74,13.3,1679723,7.1,-329666,-3.9,-25527,-31.7,-45,-5.5,-2328,-5.4
"C3070","5","1012","43","0","2022","A","","Lincoln, NE MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1221,10643,641732327,149965306,2500876,1160,60299,"",1.41,1.18,1.24,1.36,1.97,1.05,1.05,"",20,1.7,492,4.8,76077547,13.4,11974589,8.7,206693,9.0,88,8.2,4575,8.2
"C3070","5","1013","43","0","2022","A","","Lincoln, NE MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",288,14620,950297329,161420413,781761,1250,64998,"",0.79,0.98,1.02,1.00,0.69,1.04,1.04,"",5,1.8,1059,7.8,67201797,7.6,10371444,6.9,6125,0.8,-2,-0.2,-120,-0.2
"C3070","5","102","42","0","2022","A","","Lincoln, NE MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",9224,115491,5927680882,1158147420,7218014,987,51326,"",0.98,0.93,0.88,1.00,0.92,0.95,0.95,"",191,2.1,843,0.7,295661358,5.2,33116038,2.9,728466,11.2,42,4.4,2202,4.5
"C3070","5","1021","43","0","2022","A","","Lincoln, NE MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1738,31755,1571797213,341414466,1563284,952,49498,"",0.89,0.95,1.04,1.04,0.78,1.09,1.09,"",5,0.3,26,0.1,111489764,7.6,2906685,0.9,1151,0.1,67,7.6,3474,7.5
"C3070","5","1022","43","0","2022","A","","Lincoln, NE MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",178,3592,319752136,41773978,228217,1712,89012,"",0.71,1.01,0.79,0.96,0.67,0.78,0.78,"",5,2.9,219,6.5,36924111,13.1,3676754,9.7,39216,20.7,100,6.2,5163,6.2
"C3070","5","1023","43","0","2022","A","","Lincoln, NE MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1133,9362,697566269,105412097,798419,1433,74508,"",1.14,0.93,0.76,0.97,1.12,0.81,0.81,"",34,3.1,-444,-4.5,-6872197,-1.0,-1466414,-1.4,315283,65.3,52,3.8,2671,3.7
"C3070","5","1024","43","0","2022","A","","Lincoln, NE MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",1911,20791,1311566743,261615707,1980423,1213,63083,"",0.86,0.79,0.68,0.86,0.85,0.86,0.86,"",63,3.4,-190,-0.9,44495562,3.5,3188317,1.2,87950,4.6,52,4.5,2692,4.5
