"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3086","0","10","40","0","2022","A","","Logan, UT-ID MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",4858,67606,3171718582,1605565244,8008131,902,46915,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",252,5.5,2045,3.1,132083534,4.3,143245159,9.8,2192058,37.7,10,1.1,552,1.2
"C3086","1","10","41","0","2022","A","","Logan, UT-ID MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34,374,26895295,0,0,1382,71849,"",1.32,0.29,0.34,0.00,0.00,1.16,1.16,"",-1,-2.9,4,1.1,2177580,8.8,0,0.0,0,0.0,98,7.6,5059,7.6
"C3086","2","10","41","0","2022","A","","Logan, UT-ID MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",37,4791,272493282,0,0,1094,56876,"",1.23,2.34,2.73,0.00,0.00,1.17,1.17,"",-4,-9.8,79,1.7,14632443,5.7,0,0.0,0,0.0,42,4.0,2147,3.9
"C3086","3","10","41","0","2022","A","","Logan, UT-ID MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",134,6701,272443477,9112726,32557,782,40655,"",1.85,1.07,1.06,0.42,0.82,0.99,0.99,"",0,0.0,239,3.7,19850899,7.9,1445537,18.9,10607,48.3,30,4.0,1566,4.0
"C3086","5","10","41","0","2022","A","","Logan, UT-ID MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",4653,55740,2599886528,1596452518,7975574,897,46643,"",0.98,0.96,0.95,1.01,1.00,0.99,0.99,"",257,5.8,1722,3.2,95422612,3.8,141799622,9.7,2181451,37.6,5,0.6,279,0.6
"C3086","5","101","42","0","2022","A","","Logan, UT-ID MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1094,18903,1061779183,724214151,3719052,1080,56169,"",1.82,1.88,2.07,2.26,1.85,1.10,1.10,"",49,4.7,210,1.1,-42400386,-3.8,50148198,7.4,816862,28.1,-56,-4.9,-2901,-4.9
"C3086","5","1011","43","0","2022","A","","Logan, UT-ID MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",99,775,30176666,23918704,107992,749,38929,"",1.64,0.95,0.83,0.87,0.57,0.87,0.87,"",5,5.3,-17,-2.1,1799406,6.3,1580993,7.1,26533,32.6,60,8.7,3084,8.6
"C3086","5","1012","43","0","2022","A","","Logan, UT-ID MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",699,3724,181921685,135873156,1206568,939,48849,"",1.83,1.07,1.06,1.14,1.25,0.99,0.99,"",35,5.3,93,2.6,16490317,10.0,13215433,10.8,172507,16.7,63,7.2,3289,7.2
"C3086","5","1013","43","0","2022","A","","Logan, UT-ID MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",297,14404,849680832,564422291,2404492,1134,58989,"",1.85,2.51,2.77,3.24,2.79,1.11,1.11,"",10,3.5,134,0.9,-60690109,-6.7,35351772,6.7,617822,34.6,-93,-7.6,-4808,-7.5
"C3086","5","102","42","0","2022","A","","Logan, UT-ID MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",3559,36836,1538107345,872238367,4256522,803,41755,"",0.86,0.77,0.69,0.70,0.72,0.90,0.90,"",208,6.2,1511,4.3,137822998,9.8,91651424,11.7,1364589,47.2,41,5.4,2115,5.3
"C3086","5","1021","43","0","2022","A","","Logan, UT-ID MSA","Private","1021 Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",809,11464,430234284,299718115,1463632,722,37529,"",0.95,0.89,0.86,0.85,0.97,0.97,0.96,"",1,0.1,607,5.6,46200994,12.0,33285091,12.5,460587,45.9,42,6.2,2157,6.1
"C3086","5","1022","43","0","2022","A","","Logan, UT-ID MSA","Private","1022 Information","MSA, by Supersector -- by ownership sector","All establishment sizes",95,508,28616885,17406962,134742,1083,56305,"",0.86,0.37,0.21,0.37,0.52,0.58,0.58,"",22,30.1,-27,-5.0,-131431,-0.5,-93244,-0.5,36827,37.6,50,4.8,2595,4.8
"C3086","5","1023","43","0","2022","A","","Logan, UT-ID MSA","Private","1023 Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",467,1972,123981919,64850126,300649,1209,62871,"",1.07,0.51,0.41,0.55,0.56,0.80,0.80,"",0,0.0,74,3.9,14970099,13.7,7486610,13.1,113655,60.8,105,9.5,5449,9.5
"C3086","5","1024","43","0","2022","A","","Logan, UT-ID MSA","Private","1024 Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",922,8196,485102553,237175778,1148112,1138,59188,"",0.94,0.81,0.76,0.72,0.65,0.94,0.94,"",92,11.1,-6,-0.1,18346106,3.9,16757529,7.6,316928,38.1,44,4.0,2280,4.0
"C3086","5","1025","43","0","2022","A","","Logan, UT-ID MSA","Private","1025 Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",659,7773,330368255,132613020,617782,817,42503,"",0.78,0.74,0.77,0.73,0.77,1.04,1.04,"",46,7.5,343,4.6,38673756,13.3,17215242,14.9,191832,45.0,62,8.2,3243,8.3
"C3086","5","1026","43","0","2022","A","","Logan, UT-ID MSA","Private","1026 Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",302,5729,98810247,89850662,422418,332,17248,"",0.77,0.81,0.68,0.53,0.53,0.84,0.84,"",21,7.5,433,8.2,13114374,15.3,12478909,16.1,190791,82.4,21,6.8,1068,6.6
"C3086","5","1027","43","0","2022","A","","Logan, UT-ID MSA","Private","1027 Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",302,1189,40527063,30552035,168117,655,34083,"",0.83,0.60,0.63,0.62,0.72,1.05,1.05,"",24,8.6,89,8.1,6462409,19.0,4527583,17.4,57421,51.9,59,9.9,3106,10.0
"C3086","5","1029","43","0","2022","A","","Logan, UT-ID MSA","Private","1029 Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",2,6,466139,71669,1070,1606,83488,"",0.01,0.05,0.07,0.01,0.03,1.67,1.67,"",0,0.0,-1,-14.3,186691,66.8,-6296,-8.1,-3452,-76.3,779,94.2,40496,94.2
"C3086","5","11","44","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 11 Agriculture, forestry, fishing and hunting","MSA, NAICS Sector -- by ownership sector","All establishment sizes",87,0,0,0,0,0,0,"N",1.84,0,0,0,0,0,0,"N",4,4.8,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","111","45","0","2022","A","","Logan, UT-ID MSA","Private","NAICS 111 Crop production","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",15,84,3033278,2523378,17543,693,36039,"",0.70,0.34,0.44,0.32,0.32,1.29,1.29,"",3,25.0,-4,-4.5,285133,10.4,213428,9.2,4000,29.5,95,15.9,4957,15.9
"C3086","5","1111","46","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 1111 Oilseed and grain farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.17,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","11119","47","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 11119 Other grain farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","111199","48","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 111199 All other grain farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.74,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","1112","46","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 1112 Vegetable and melon farming","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","11121","47","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 11121 Vegetable and melon farming","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","111211","48","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 111211 Potato farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","111219","48","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 111219 Other vegetable (except potato) and melon farming","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3086","5","1114","46","0","2022","A","N","Logan, UT-ID MSA","Private","NAICS 1114 Greenhouse, nursery, and floriculture production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,"N",1.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
