"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3762","0","10","40","0","2022","A","","Parkersburg-Vienna, WV MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2344,35168,1747293897,289746545,7208987,955,49684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,2.0,672,1.9,100583254,6.1,-41842594,-12.6,-779663,-9.8,37,4.0,1948,4.1
"C3762","1","10","41","0","2022","A","","Parkersburg-Vienna, WV MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",25,2655,229443070,0,0,1662,86406,"",2.02,3.96,5.19,0.00,0.00,1.31,1.31,"",-1,-3.8,-82,-3.0,2501834,1.1,0,0.0,0,0.0,67,4.2,3475,4.2
"C3762","2","10","41","0","2022","A","","Parkersburg-Vienna, WV MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",39,1089,45883993,108391,1625,810,42141,"",2.69,1.02,0.83,0.07,0.46,0.82,0.82,"",0,0.0,57,5.5,964399,2.1,391,0.4,5,0.3,-27,-3.2,-1403,-3.2
"C3762","3","10","41","0","2022","A","","Parkersburg-Vienna, WV MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",73,3036,138857223,2303676,39572,880,45737,"",2.09,0.93,0.98,0.59,1.10,1.06,1.06,"",-1,-1.4,-16,-0.5,4474074,3.3,-688638,-23.0,-12083,-23.4,33,3.9,1700,3.9
"C3762","5","10","41","0","2022","A","","Parkersburg-Vienna, WV MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2207,28388,1333109611,287334478,7167790,903,46961,"",0.97,0.94,0.88,1.01,1.00,0.94,0.94,"",49,2.3,711,2.6,92642947,7.5,-41154347,-12.5,-767585,-9.7,41,4.8,2141,4.8
"C3762","5","101","42","0","2022","A","","Parkersburg-Vienna, WV MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",266,4473,309743510,56624289,2374494,1332,69245,"",0.92,0.86,1.09,0.98,1.31,1.28,1.28,"",3,1.1,525,13.3,45666425,17.3,-1312689,-2.3,-4458,-0.2,46,3.6,2355,3.5
"C3762","5","1011","43","0","2022","A","N","Parkersburg-Vienna, WV MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",22,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",-3,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
"C3762","5","1012","43","0","2022","A","","Parkersburg-Vienna, WV MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",180,1562,86189028,20522445,1144555,1061,55164,"",0.98,0.86,0.91,0.96,1.32,1.06,1.06,"",2,1.1,202,14.9,15931935,22.7,-1584975,-7.2,-32303,-2.7,68,6.8,3504,6.8
"C3762","5","1013","43","0","2022","A","N","Parkersburg-Vienna, WV MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",64,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,"N",4,6.7,0,0,0,0,0,0,0,0,0,0,0,0
"C3762","5","102","42","0","2022","A","","Parkersburg-Vienna, WV MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1941,23915,1023366101,230710189,4793296,823,42792,"",0.97,0.96,0.84,1.02,0.89,0.87,0.87,"",46,2.4,186,0.8,46976522,4.8,-39841658,-14.7,-763127,-13.7,32,4.0,1644,4.0
