"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3798","0","10","40","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",176376,2791396,207277187318,37296548921,965464998,1428,74256,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5970,3.5,102866,3.8,13848879950,7.2,2265882670,6.5,16725338,1.8,44,3.2,2310,3.2
"C3798","1","10","41","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",704,51292,4685040206,0,0,1757,91340,"",0.76,0.96,0.89,0.00,0.00,0.93,0.93,"",-10,-1.4,51,0.1,164381895,3.6,0,0.0,0,0.0,60,3.5,3116,3.5
"C3798","2","10","41","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",345,50864,3519829305,12087512,149585,1331,69201,"",0.32,0.60,0.54,0.06,0.31,0.90,0.90,"N",2,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"C3798","3","10","41","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2607,218742,15091444489,667618278,6164122,1327,68992,"",0.99,0.85,0.90,1.32,1.28,1.07,1.07,"N",-15,-0.6,0,0,0,0,0,0,0,0,0,0,0,0
"C3798","5","10","41","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",172720,2470498,183980873318,36616843131,959151291,1432,74471,"",1.01,1.03,1.03,1.00,1.00,1.00,1.00,"",5993,3.6,100347,4.2,12884800325,7.5,2216539068,6.4,16483343,1.7,44,3.2,2283,3.2
"C3798","5","101","42","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",20823,306519,25955064561,5841089906,185986984,1628,84677,"",0.95,0.74,0.77,0.78,0.77,1.05,1.05,"",523,2.6,9742,3.3,1757700389,7.3,320646795,5.8,2994533,1.6,60,3.8,3143,3.9
"C3798","5","1011","43","0","2022","A","N","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",796,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",28,3.6,0,0,0,0,0,0,0,0,0,0,0,0
"C3798","5","1012","43","0","2022","A","N","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",14586,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0,"N",411,2.9,0,0,0,0,0,0,0,0,0,0,0,0
"C3798","5","1013","43","0","2022","A","N","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",5442,0,0,0,0,0,0,"N",0.93,0,0,0,0,0,0,"N",85,1.6,0,0,0,0,0,0,0,0,0,0,0,0
"C3798","5","102","42","0","2022","A","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",151897,2163979,158025808757,30775753225,773164307,1404,73026,"",1.01,1.09,1.09,1.06,1.08,1.00,1.00,"",5469,3.7,90606,4.4,11127099936,7.6,1895892273,6.6,13488810,1.8,41,3.0,2176,3.1
