"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C4270","0","10","40","0","2022","A","","Sebring, FL MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",2542,27886,1214173925,195631245,1541637,837,43540,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",89,3.6,1087,4.1,128432077,11.8,10856817,5.9,230594,17.6,58,7.4,3025,7.5
"C4270","1","10","41","0","2022","A","","Sebring, FL MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",17,285,19067556,0,0,1285,66845,"",1.27,0.54,0.62,0.00,0.00,1.16,1.16,"",0,0.0,13,4.8,785269,4.3,0,0.0,0,0.0,-6,-0.5,-266,-0.4
"C4270","2","10","41","0","2022","A","","Sebring, FL MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,658,26591153,0,0,777,40397,"",1.53,0.78,0.70,0.00,0.00,0.89,0.89,"",0,0.0,-10,-1.5,1243322,4.9,0,0.0,0,0.0,47,6.4,2427,6.4
"C4270","3","10","41","0","2022","A","","Sebring, FL MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",16,3218,159535584,764587,841,953,49579,"",0.42,1.25,1.63,0.29,0.11,1.31,1.31,"",0,0.0,38,1.2,17588890,12.4,103634,15.7,-216,-20.4,95,11.1,4944,11.1
"C4270","5","10","41","0","2022","A","","Sebring, FL MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2485,23725,1008979632,194866658,1540796,818,42528,"",1.00,0.99,0.96,1.02,1.00,0.97,0.97,"",89,3.7,1046,4.6,108814596,12.1,10753183,5.8,230810,17.6,55,7.2,2836,7.1
"C4270","5","101","42","0","2022","A","","Sebring, FL MSA","Private","101 Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",561,4158,175234771,39925681,261010,810,42140,"",1.78,1.00,0.89,1.02,0.67,0.89,0.89,"",22,4.1,2,0.0,12737926,7.8,900609,2.3,-22664,-8.0,58,7.7,3037,7.8
"C4270","5","1011","43","0","2022","A","","Sebring, FL MSA","Private","1011 Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",181,1739,62505202,15279245,122564,691,35948,"",5.72,5.16,4.48,4.55,3.36,0.87,0.87,"N",3,1.7,0,0,0,0,0,0,0,0,0,0,0,0
"C4270","5","1012","43","0","2022","A","","Sebring, FL MSA","Private","1012 Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",313,1798,82924385,18876992,113108,887,46110,"",1.57,1.25,1.27,1.30,0.61,1.01,1.01,"",14,4.7,151,9.2,12823586,18.3,2087987,12.4,30090,36.2,68,8.3,3547,8.3
"C4270","5","1013","43","0","2022","A","","Sebring, FL MSA","Private","1013 Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",67,621,29805184,5769444,25338,923,47976,"",0.80,0.26,0.25,0.27,0.15,0.97,0.97,"N",5,8.1,0,0,0,0,0,0,0,0,0,0,0,0
"C4270","5","102","42","0","2022","A","","Sebring, FL MSA","Private","102 Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1924,19567,833744861,154940977,1279786,819,42610,"",0.89,0.99,0.98,1.01,1.12,0.99,0.99,"",67,3.6,1044,5.6,96076670,13.0,9852574,6.8,253474,24.7,53,6.9,2786,7.0
